unit_id,source_file,doi,article_title,journal,year,review_round,referee_number,source_text_sha256,gate,claim_type,subfield_bucket,abstract_unit,evidence_risk,reviewer_concern,revision_direction,matched_signal_terms,non_verbatim
MS-RU-00011,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,3e62ba82d1ff41f21457853513e5ceefe1b98d4fb8854a45620759c8dc983ab9,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",line; page,true
MS-RU-00012,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,a78e091e0a1be913a00b3adca37f5b6b283eaf183e3cdc9cfb20ef3259a1427a,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",line; page,true
MS-RU-00013,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,19c5bf30e5bd7c69d3d1dea3c3de6ebd66ff943e3f9d07d38a204031ec09087a,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",line; page,true
MS-RU-00014,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,46e10fc301315a1528c076653cf8fdfcaf4666e36c2011ad1103de2f3384628a,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",unit; page,true
MS-RU-00015,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,2d9a1904832730104f81beb91045fe60d169258e250a6e81c010ad5b18847273,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",figure; page,true
MS-RU-00016,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,0eacd245f7a631e2c5912b9cceefa978572f3ced8641cf24ec85344ff31ec85a,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
MS-RU-00017,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,d4944752c0a729925456a5ac471630a271393a92a802fd403ee51a117a09aaaf,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",figure,true
MS-RU-00018,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,de70e3d32fd13aada0070546580aee3d19127d8c53707c79cf99601d635d6732,editorial_significance_and_novelty,novel_material_or_general_advance_claim,porous_frameworks_and_sorbents,Assesses whether the material advance is clearly distinguished from closest prior work and scaled to an appropriate Nature-level claim.,"The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","Reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",advance,true
MS-RU-00019,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,6b920ba644beebd955af37864200e6cd270c55e10184af6bd8ce56439310326e,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
MS-RU-00020,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,a3b7462176c74a5aaa09d37e661374c0da60df0ba48e730cc7d34406fccf51e5,synthesis_route_and_reproducibility,synthesis_or_processing_claim,porous_frameworks_and_sorbents,"Requests clearer synthesis, processing, or fabrication details so the claimed material can be reproduced and failure modes understood.",The target material may not be reproducibly accessible from the described route or processing window.,"Reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.","Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",synthesis,true
MS-RU-00021,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,d607dcdcb4585bcc107b22bf6b41acd515e076d115b2218d8da0f37df512b2fe,scalability_processability_and_application_boundary,application_or_translation_claim,porous_frameworks_and_sorbents,"Checks whether proof-of-concept results have been overextended to practical, scalable, device, or industrial application claims.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","Reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",application,true
MS-RU-00022,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,7a6e53064b278f310d66813c073737446bb0a251e317e6f7c8ca219a8c5a4b34,synthesis_route_and_reproducibility,synthesis_or_processing_claim,porous_frameworks_and_sorbents,"Requests clearer synthesis, processing, or fabrication details so the claimed material can be reproduced and failure modes understood.",The target material may not be reproducibly accessible from the described route or processing window.,"Reviewers ask for complete synthesis details, batch-to-batch consistency, process windows, yields, and failure cases.","Add full protocols, key parameters, replicate batches, yield/throughput information, and limits of the synthesis route.",synthesis; preparation,true
MS-RU-00023,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,3243e3f6431b30562ce0084364331f1027660967fb8be6152205957a9536305b,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure,true
MS-RU-00024,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,497d1948f39d475cde8a3516f132ad89bdc0ad518f5ec1333bb7a04f74079c5e,property_measurement_and_metric_validity,material_property_or_performance_claim,porous_frameworks_and_sorbents,"Challenges whether the reported property or performance metric is measured, normalized, and interpreted under defensible conditions.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",sensitivity,true
MS-RU-00025,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,a0fc156881bea66fbbe975f686482e8b44c3cd61f63d8136ce0e862b63d29b4b,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",crystal,true
MS-RU-00026,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,6367fbdbb2152829c4ae1041e4549ef983cf561ac76c28b58e3b991d26e7947b,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
MS-RU-00027,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,69d43a9dae28025abea7ff60aebbc4b6d6b57ad1ebab4a5ea366a400889dae78,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
MS-RU-00028,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,454c3f7af2f6b7c2c2f3381cf0efd9750d22c048fa48832cfac4da39481e4cbd,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",crystal,true
MS-RU-00029,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,356ee5c71309dcf0c8db1a193def027e0bb60434d429eb66ae469d8650e112bf,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure; crystal,true
MS-RU-00030,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,72d2cb8a89178f63ddbe859f45c2cbbcf8293f257056c0968235bd2af247d1d0,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure; crystal,true
MS-RU-00031,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,4f5198f0f6673db7dae51cc1afa28081ddea09f46fc1771626143488f98702de,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
MS-RU-00032,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,41c46cd989ad04024642a24bd06dc0395bb3f0768f0bac7d1d1cc272c99fe14d,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",crystal,true
MS-RU-00033,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,12624d0146a587d776ee469da61535bd26d16d232907b74d6367b0bbe0ea9fce,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",definition,true
MS-RU-00034,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,c9231ea9a5ea533a073bda7441560745f33d9ff5335895dbfca448c685e05b0b,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure; crystal,true
MS-RU-00035,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,c262301a7e7da98c6fae0176e54bd72053473a240a442fe2e90bf4cc74d4a609,editorial_significance_and_novelty,novel_material_or_general_advance_claim,porous_frameworks_and_sorbents,Assesses whether the material advance is clearly distinguished from closest prior work and scaled to an appropriate Nature-level claim.,"The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","Reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",novel; novelty,true
MS-RU-00036,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,ac01a91f02bf24ecbceaa87659f9ec6895b88668247dc55f7d507ca70d48c1ff,stability_durability_and_operando_relevance,stability_or_long_term_utility_claim,porous_frameworks_and_sorbents,"Asks whether stability, cycling, aging, or operando robustness claims survive realistic stress conditions and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",stability; thermal,true
MS-RU-00037,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,e87e842766dfdfff4c24fd5fd4703901ca11daf6f69f4067bcebcb2031672f72,property_measurement_and_metric_validity,material_property_or_performance_claim,porous_frameworks_and_sorbents,"Challenges whether the reported property or performance metric is measured, normalized, and interpreted under defensible conditions.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",performance; capacity,true
MS-RU-00038,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,e82cd7dde0e18280ecea945dfc9f68beaf44a43e5d3b27d0854747e6c5c035ae,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",figure; clarify,true
MS-RU-00039,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,5ab23310b5e927d9b156a0132818ecd6beb9f7e9b2d15ddca35ae37cd1a6b07f,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure; tem,true
MS-RU-00040,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,2,7e53296e884105b836dc309cd252667f8d5e69e59a6c8f275584d4e24ae1c78b,structure_property_causality_and_mechanism,mechanistic_or_structure_property_claim,porous_frameworks_and_sorbents,Separates structure-property correlation from mechanistic causality and asks for targeted evidence against alternative explanations.,A correlation between structure and performance is presented as a causal mechanism.,"Reviewers ask for perturbation, control, in situ, operando, or alternative-mechanism tests.","Separate correlation from causality, add targeted controls, validate proposed pathways, and discuss plausible alternatives.",explain,true
MS-RU-00041,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,3,fe66881fc912ffcecefcf75ae322daa325830ae91aeb4054f4d8079547884dd8,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
