id,journal,article_type,publication_date,title,doi,relevance_class,hydrology_axis,article_url,prf_url,pdf_filename,inclusion_reason,downloaded,file_size_bytes,sha256,pdf_header_ok,pdf_pages,corpus_name,corpus_created,source_scope,use_limit_note,publication_year
11,Nature Communications,Article,2026,Hydrological impacts of land use and land cover change,10.1038/s41467-026-69883-2,high_core,land-use hydrology; hydrological response; runoff/ET partitioning,https://www.nature.com/articles/s41467-026-69883-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-69883-2/MediaObjects/41467_2026_69883_MOESM8_ESM.pdf,011_NatCommun_s41467-026-69883-2_peer_review_file.pdf,Hydrological impacts of land-cover change are the direct research object.,True,5955834,46a85dc8a3b5678f198fc8c28c3120cc4bb8f0a63ff641328375b1bf3c175ab2,True,62,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
12,Nature Communications,Article,2026,Snow or rain? Global precipitation phase partitioning and its hydrological relevance,10.1038/s41467-026-69487-w,high_core,precipitation phase; snow/rain partitioning; cryosphere hydrology,https://www.nature.com/articles/s41467-026-69487-w,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-69487-w/MediaObjects/41467_2026_69487_MOESM2_ESM.pdf,012_NatCommun_s41467-026-69487-w_peer_review_file.pdf,Snow/rain phase partitioning directly controls runoff timing and cryosphere hydrology.,True,1592517,d4b3d30cbf0b11892c5675c2e678d17727677afd51bf1b8a1ee59ddfb25616be,True,43,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
13,Nature Communications,Article,2026,Antecedent moisture controls atmospheric-river flood hazards,10.1038/s41467-026-69286-3,high_core,antecedent soil moisture; atmospheric rivers; flood hazards,https://www.nature.com/articles/s41467-026-69286-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-69286-3/MediaObjects/41467_2026_69286_MOESM5_ESM.pdf,013_NatCommun_s41467-026-69286-3_peer_review_file.pdf,Antecedent moisture and flood hazard process coupling are central.,True,428536,b3eecc9d79e2502b7e8a776e928d707e92afdc78810c2c8fbff090a20bd7a953,True,36,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
14,Nature Communications,Article,2026,Runoff responses to forestation,10.1038/s41467-026-68945-9,high_core,forestation; runoff response; land-atmosphere-water coupling,https://www.nature.com/articles/s41467-026-68945-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-68945-9/MediaObjects/41467_2026_68945_MOESM2_ESM.pdf,014_NatCommun_s41467-026-68945-9_peer_review_file.pdf,Runoff response to land-cover intervention is the core hydrological outcome.,True,3774309,8c09eb8b708083e53849495af84c1f207749f59f7d491b82a51ceca344baff1b,True,69,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
15,Nature Communications,Article,2026,Global crop-specific energy demand for irrigation,10.1038/s41467-026-68902-6,medium_high_related,irrigation demand; agricultural water use; energy-water nexus,https://www.nature.com/articles/s41467-026-68902-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-68902-6/MediaObjects/41467_2026_68902_MOESM4_ESM.pdf,015_NatCommun_s41467-026-68902-6_peer_review_file.pdf,Included as human-water systems corpus because irrigation demand is a central quantified variable.,True,2327835,2421c993af1749103ba67f4a02c357d60f88928f5dc5f43ab64e873060fe04bc,True,48,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
16,Nature Communications,Article,2025-10-15,Distinct hydrologic response patterns to precipitation across global river basins,10.1038/s41467-025-64367-1,high_core,precipitation-runoff response; river basins; hydrological modelling,https://www.nature.com/articles/s41467-025-64367-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-64367-1/MediaObjects/41467_2025_64367_MOESM2_ESM.pdf,016_NatCommun_s41467-025-64367-1_peer_review_file.pdf,Precipitation-runoff response across river basins is the central topic.,True,2520725,ef6bfe239531b7c3f916d1a056d7864ee3973af0c604b1e05e9b1e7beb42898e,True,27,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
17,Nature Communications,Article,2025,Integrated water-resource futures for Colorado River post-2026 operations under climate uncertainty,10.1038/s41467-025-63635-4,high_core,Colorado River; reservoir operation; basin water allocation; climate uncertainty,https://www.nature.com/articles/s41467-025-63635-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-63635-4/MediaObjects/41467_2025_63635_MOESM2_ESM.pdf,017_NatCommun_s41467-025-63635-4_peer_review_file.pdf,Basin operation and water allocation under climate uncertainty are central.,True,2572856,0140ffaceb408b5d4bf8eeccf366fd5978457e582dbf9a936e4aa9720b11d5e1,True,18,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
18,Nature Communications,Article,2025,Transboundary conflict and cooperation under climate-driven water scarcity,10.1038/s41467-025-63568-y,medium_high_related,water scarcity; transboundary water systems; hydroclimate risk,https://www.nature.com/articles/s41467-025-63568-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-63568-y/MediaObjects/41467_2025_63568_MOESM3_ESM.pdf,018_NatCommun_s41467-025-63568-y_peer_review_file.pdf,Included because the socio-political claim depends on quantified climate-driven water scarcity.,True,3348114,dd9e5a8bbd07b622f17e9d9655f6586e8dc2fa2358a7d6dac185f21b56d4a461,True,59,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
19,Nature Communications,Article,2025,Soil moisture improves drought forecasts,10.1038/s41467-025-62761-3,high_core,soil moisture; drought forecasting; subseasonal prediction,https://www.nature.com/articles/s41467-025-62761-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-62761-3/MediaObjects/41467_2025_62761_MOESM2_ESM.pdf,019_NatCommun_s41467-025-62761-3_peer_review_file.pdf,Soil moisture as predictive hydrological state variable is central.,True,721641,b80813c66979997bfa0acd9ef74ded89c8dcdb415f571cee62ec52e031383010,True,35,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
20,Nature Communications,Article,2025,Aquifer recovery under managed groundwater and climate constraints,10.1038/s41467-025-62719-5,high_core,aquifer recovery; groundwater storage; groundwater management,https://www.nature.com/articles/s41467-025-62719-5,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-62719-5/MediaObjects/41467_2025_62719_MOESM2_ESM.pdf,020_NatCommun_s41467-025-62719-5_peer_review_file.pdf,Groundwater storage recovery and aquifer dynamics are core.,True,2851450,668c7ae25ef26cd5bc90f80cf47bb10c583bec4b258de6606ff8aa783b2fa235,True,37,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
21,Nature Communications,Article,2025,Dam overtopping and reservoir-related flood risk under changing hydroclimate,10.1038/s41467-025-59536-1,high_core,dam overtopping; reservoir risk; flood hydrology,https://www.nature.com/articles/s41467-025-59536-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-59536-1/MediaObjects/41467_2025_59536_MOESM2_ESM.pdf,021_NatCommun_s41467-025-59536-1_peer_review_file.pdf,Reservoir/flood-hazard modelling is central.,True,7695701,1cbc6de976f40dd9cda30bb8bc0c2e88ea0381b86659902d4274aeae2e83af81,True,67,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
22,Nature Communications,Article,2025,Mapping global floods,10.1038/s41467-025-60973-1,high_core,global flood mapping; inundation; remote sensing/model validation,https://www.nature.com/articles/s41467-025-60973-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-60973-1/MediaObjects/41467_2025_60973_MOESM2_ESM.pdf,022_NatCommun_s41467-025-60973-1_peer_review_file.pdf,Global flood mapping is central to water-hazard evidence chain.,True,768876,b6e2228dd5016c8d687ab8190106829a445fb4ca8a016eb4795be0fa12ee647e,True,29,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
23,Nature Communications,Article,2025,Rain-on-snow runoff hazards under changing climate,10.1038/s41467-025-59855-3,high_core,rain-on-snow; snowmelt runoff; flood hazard,https://www.nature.com/articles/s41467-025-59855-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-59855-3/MediaObjects/41467_2025_59855_MOESM3_ESM.pdf,023_NatCommun_s41467-025-59855-3_peer_review_file.pdf,Cryosphere-runoff hazard mechanism is the central claim.,True,4128302,cfcfdc88d6f1c29d729da969c0f627f9a16ebe0000779337798b89bf5b9b8980,True,39,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
24,Nature Communications,Article,2025-01-30,Global water gaps under future warming levels,10.1038/s41467-025-56517-2,high_core,water scarcity; water gaps; warming levels,https://www.nature.com/articles/s41467-025-56517-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-56517-2/MediaObjects/41467_2025_56517_MOESM2_ESM.pdf,024_NatCommun_s41467-025-56517-2_peer_review_file.pdf,Quantified water gaps under warming are the central water-resources claim.,True,133341,013b91582c5b5e43689934da8fddf793ad8397742924e2f2443e60ccdd3886e2,True,22,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
25,Nature Communications,Article,2025-01-16,Hydroclimatic extremes threaten groundwater quality and stability,10.1038/s41467-025-55890-2,medium_high_related,groundwater quality; recharge; hydroclimatic extremes; DOM transport,https://www.nature.com/articles/s41467-025-55890-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-55890-2/MediaObjects/41467_2025_55890_MOESM2_ESM.pdf,025_NatCommun_s41467-025-55890-2_peer_review_file.pdf,Included as boundary corpus because groundwater recharge/extremes are core to the water-quality claim.,True,1511058,233126ce7ecb927d140ced06dc85c1ccc1fa5bcc83e28905102fb5307e674530,True,28,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
26,Nature Communications,Article,2024-11-25,Widespread potential for streamflow leakage across Brazil,10.1038/s41467-024-54370-3,high_core,streamflow leakage; groundwater-surface water interaction; Brazil,https://www.nature.com/articles/s41467-024-54370-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-54370-3/MediaObjects/41467_2024_54370_MOESM2_ESM.pdf,026_NatCommun_s41467-024-54370-3_peer_review_file.pdf,Streamflow leakage and groundwater-surface interaction are the direct object.,True,3695753,7c7910d40acc41a37a9cb1f6e9ab0c129d80d5c38ab7785e486b992409386e30,True,84,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
27,Nature Communications,Article,2024,Streamflow responses and aquatic carbon cycling under hydrological variability,10.1038/s41467-024-53879-x,medium_high_related,streamflow; carbon transport; hydrological variability,https://www.nature.com/articles/s41467-024-53879-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-53879-x/MediaObjects/41467_2024_53879_MOESM4_ESM.pdf,027_NatCommun_s41467-024-53879-x_peer_review_file.pdf,Included because streamflow controls aquatic CO2/carbon export evidence chain.,True,3163031,e8930d7cf628492ef2087376d1093e1d966de907bfb8fe2fc562b039a4fbeea0,True,36,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
28,Nature Communications,Article,2024,Wildfire impacts on runoff and aquatic disturbance propagation,10.1038/s41467-024-51306-9,medium_high_related,wildfire; runoff; water quality disturbance propagation,https://www.nature.com/articles/s41467-024-51306-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-51306-9/MediaObjects/41467_2024_51306_MOESM2_ESM.pdf,028_NatCommun_s41467-024-51306-9_peer_review_file.pdf,Boundary inclusion: water-quality effects are mediated by runoff and hydrological connectivity.,True,1724679,0bd5ab40fbb07f05cf670b509cde704c07a76ca3fc42a870b9faaf249c67e409,True,39,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
29,Nature Communications,Article,2024,Urban form controls flooding outcomes,10.1038/s41467-024-50347-4,high_core,urban flooding; impervious surface; urban hydrology,https://www.nature.com/articles/s41467-024-50347-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50347-4/MediaObjects/41467_2024_50347_MOESM2_ESM.pdf,029_NatCommun_s41467-024-50347-4_peer_review_file.pdf,Urban flood process and hazard response are central.,True,1147290,d7b6a9a508934f47ffa13f1ccbe81d9b9d75026c6ea3bfb0e30cdbabd0b55518,True,13,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
30,Nature Communications,Article,2024,Vadose-zone soil moisture observations reveal subsurface water dynamics,10.1038/s41467-024-50690-6,high_core,vadose zone; soil moisture; subsurface hydrology,https://www.nature.com/articles/s41467-024-50690-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50690-6/MediaObjects/41467_2024_50690_MOESM2_ESM.pdf,030_NatCommun_s41467-024-50690-6_peer_review_file.pdf,Subsurface soil moisture observations and vadose-zone hydrology are central.,True,2796068,765ce2b37f96d19ae909a60e621dc3abdc412b75e90c8d5d86d7eb43b62bbf96,True,23,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
31,Nature Communications,Article,2024,Environmental flows and water management under human-water constraints,10.1038/s41467-024-49770-4,high_core,environmental flows; reservoir/water management; human-water systems,https://www.nature.com/articles/s41467-024-49770-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-49770-4/MediaObjects/41467_2024_49770_MOESM2_ESM.pdf,031_NatCommun_s41467-024-49770-4_peer_review_file.pdf,Environmental flow and human-water management evidence chain is central.,True,549865,fd6f36238c7cc500e3d058ef20c010818796101deb3ca0b67b9f653b0e7c4db2,True,13,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
32,Nature Communications,Article,2024,Riverine flooding early warning,10.1038/s41467-024-48065-y,high_core,riverine flood forecasting; early warning; hydrological prediction,https://www.nature.com/articles/s41467-024-48065-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-48065-y/MediaObjects/41467_2024_48065_MOESM2_ESM.pdf,032_NatCommun_s41467-024-48065-y_peer_review_file.pdf,Riverine flood early-warning and prediction are core hydrological tasks.,True,2729518,115f6530c40b61e8580818d34e9cc720635d08b8d6b057fcc1d8f07dd5003cb5,True,40,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
33,Nature Communications,Article,2024,Social vulnerability and global flood risk mapping,10.1038/s41467-024-47394-2,medium_high_related,flood risk; exposure; social vulnerability,https://www.nature.com/articles/s41467-024-47394-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-47394-2/MediaObjects/41467_2024_47394_MOESM2_ESM.pdf,033_NatCommun_s41467-024-47394-2_peer_review_file.pdf,Included because vulnerability claim depends on flood-risk modelling.,True,571981,aab49a07163d4fdad10c19ec0ea4256d1e0134ede82784f6bfda59e2ca94fea2,True,24,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
34,Nature Communications,Article,2024-01,Rising rainfall intensity induces hydrological changes,10.1038/s41467-023-44562-8,high_core,rainfall intensity; runoff sensitivity; hydrological change,https://www.nature.com/articles/s41467-023-44562-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-023-44562-8/MediaObjects/41467_2023_44562_MOESM2_ESM.pdf,034_NatCommun_s41467-023-44562-8_peer_review_file.pdf,Published in 2024; main claim concerns rainfall-intensity-driven hydrological change.,True,2968872,a0f4875375fb4ba3a686bb47196da9a1c9bf99f2d8fb0f6b6937fbc1c3cc5ed7,True,29,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2024
35,Nature Communications,Article,2025-02-03,The role of climate and population change in global flood exposure and vulnerability,10.1038/s41467-025-56654-8,medium_high_related,global flood exposure; fluvial/pluvial/coastal flood modelling; vulnerability,https://www.nature.com/articles/s41467-025-56654-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-56654-8/MediaObjects/41467_2025_56654_MOESM2_ESM.pdf,035_NatCommun_s41467-025-56654-8_peer_review_file.pdf,Included because global flood exposure and hazard modelling form the quantitative basis of the claim.,True,985924,69e7e836830c3c718446f189f773725abb502b8ab49ad89f5afd1b6d4a57f4b0,True,42,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
