source_id,source_pdf,journal,doi,pdf_pages_manifest,pages_extracted,full_text_chars,reviewer_section_chars,author_response_excluded_by_rule,review_unit_count,primary_gate_top3,qc_note
11,011_NatCommun_s41467-026-69883-2_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-69883-2,62,62,152397,14126,True,15,scale_basin_consistency:8; model_assumption_sensitivity:2; remote_sensing_data_assimilation:2,non-verbatim unit index only; raw extracted text not stored in repository
12,012_NatCommun_s41467-026-69487-w_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-69487-w,43,43,90275,12461,True,24,detail_audit:8; scale_basin_consistency:3; claim_evidence_calibration:2,non-verbatim unit index only; raw extracted text not stored in repository
13,013_NatCommun_s41467-026-69286-3_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-69286-3,36,36,105073,104917,False,104,hydrological_variable_validity:38; extreme_event_definition:24; detail_audit:16,non-verbatim unit index only; raw extracted text not stored in repository
14,014_NatCommun_s41467-026-68945-9_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-68945-9,69,69,172930,172746,False,298,scale_basin_consistency:144; claim_evidence_calibration:40; hydrological_variable_validity:32,non-verbatim unit index only; raw extracted text not stored in repository
15,015_NatCommun_s41467-026-68902-6_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-68902-6,48,48,166381,166242,False,209,scale_basin_consistency:49; detail_audit:34; claim_evidence_calibration:33,non-verbatim unit index only; raw extracted text not stored in repository
16,016_NatCommun_s41467-025-64367-1_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-64367-1,27,27,68752,68576,False,117,scale_basin_consistency:35; hydrological_variable_validity:23; model_assumption_sensitivity:16,non-verbatim unit index only; raw extracted text not stored in repository
17,017_NatCommun_s41467-025-63635-4_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-63635-4,18,18,51232,50901,False,41,human_water_interaction:9; hydrological_variable_validity:8; detail_audit:7,non-verbatim unit index only; raw extracted text not stored in repository
18,018_NatCommun_s41467-025-63568-y_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-63568-y,59,59,137587,137340,False,120,scale_basin_consistency:58; hydrological_variable_validity:13; detail_audit:11,non-verbatim unit index only; raw extracted text not stored in repository
19,019_NatCommun_s41467-025-62761-3_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-62761-3,35,35,104306,104139,False,113,model_assumption_sensitivity:29; detail_audit:16; sampling_gauge_representativeness:13,non-verbatim unit index only; raw extracted text not stored in repository
20,020_NatCommun_s41467-025-62719-5_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-62719-5,37,37,98574,98424,False,76,hydrological_variable_validity:23; scale_basin_consistency:12; detail_audit:10,non-verbatim unit index only; raw extracted text not stored in repository
21,021_NatCommun_s41467-025-59536-1_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-59536-1,67,67,110179,110018,False,103,detail_audit:25; trend_attribution_temporal_support:19; extreme_event_definition:14,non-verbatim unit index only; raw extracted text not stored in repository
22,022_NatCommun_s41467-025-60973-1_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-60973-1,29,29,85883,85747,False,99,scale_basin_consistency:19; claim_evidence_calibration:12; trend_attribution_temporal_support:11,non-verbatim unit index only; raw extracted text not stored in repository
23,023_NatCommun_s41467-025-59855-3_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-59855-3,39,39,89341,89167,False,91,detail_audit:34; hydrological_variable_validity:10; novelty_related_work_positioning:10,non-verbatim unit index only; raw extracted text not stored in repository
24,024_NatCommun_s41467-025-56517-2_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-56517-2,22,22,55555,55431,False,49,hydrological_variable_validity:14; scale_basin_consistency:12; trend_attribution_temporal_support:6,non-verbatim unit index only; raw extracted text not stored in repository
25,025_NatCommun_s41467-025-55890-2_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-55890-2,28,28,87255,25147,True,21,detail_audit:6; hydrological_variable_validity:5; trend_attribution_temporal_support:2,non-verbatim unit index only; raw extracted text not stored in repository
26,026_NatCommun_s41467-024-54370-3_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-54370-3,84,84,230738,230587,False,205,hydrological_variable_validity:89; detail_audit:49; scale_basin_consistency:30,non-verbatim unit index only; raw extracted text not stored in repository
27,027_NatCommun_s41467-024-53879-x_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-53879-x,36,36,96946,96674,False,115,hydrological_variable_validity:32; trend_attribution_temporal_support:20; scale_basin_consistency:19,non-verbatim unit index only; raw extracted text not stored in repository
28,028_NatCommun_s41467-024-51306-9_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-51306-9,39,39,124555,123355,False,107,hydrological_variable_validity:38; scale_basin_consistency:22; detail_audit:21,non-verbatim unit index only; raw extracted text not stored in repository
29,029_NatCommun_s41467-024-50347-4_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-50347-4,13,13,27592,26306,False,50,detail_audit:14; claim_evidence_calibration:7; hydrological_variable_validity:6,non-verbatim unit index only; raw extracted text not stored in repository
30,030_NatCommun_s41467-024-50690-6_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-50690-6,23,23,51125,49969,False,35,hydrological_variable_validity:10; detail_audit:7; model_assumption_sensitivity:4,non-verbatim unit index only; raw extracted text not stored in repository
31,031_NatCommun_s41467-024-49770-4_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-49770-4,13,13,39266,12676,True,16,hydrological_variable_validity:9; claim_evidence_calibration:2; detail_audit:2,non-verbatim unit index only; raw extracted text not stored in repository
32,032_NatCommun_s41467-024-48065-y_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-48065-y,40,40,102606,76415,True,73,scale_basin_consistency:17; model_assumption_sensitivity:16; detail_audit:10,non-verbatim unit index only; raw extracted text not stored in repository
33,033_NatCommun_s41467-024-47394-2_peer_review_file.pdf,Nature Communications,10.1038/s41467-024-47394-2,24,24,65090,18736,True,17,extreme_event_definition:7; scale_basin_consistency:5; claim_evidence_calibration:2,non-verbatim unit index only; raw extracted text not stored in repository
34,034_NatCommun_s41467-023-44562-8_peer_review_file.pdf,Nature Communications,10.1038/s41467-023-44562-8,29,29,57236,56023,False,72,scale_basin_consistency:36; hydrological_variable_validity:10; detail_audit:7,non-verbatim unit index only; raw extracted text not stored in repository
35,035_NatCommun_s41467-025-56654-8_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-56654-8,42,42,105862,28609,True,37,detail_audit:8; extreme_event_definition:8; scale_basin_consistency:5,non-verbatim unit index only; raw extracted text not stored in repository
36,036_Nature_s41586-024-07145-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07145-1,17,17,35742,34456,True,50,scale_basin_consistency:11; extreme_event_definition:10; claim_evidence_calibration:6,non-verbatim unit index only; raw extracted text not stored in repository
37,037_Nature_s41586-026-10287-z_peer_review_file.pdf,Nature,10.1038/s41586-026-10287-z,26,26,108425,108117,False,108,remote_sensing_data_assimilation:23; scale_basin_consistency:22; detail_audit:15,non-verbatim unit index only; raw extracted text not stored in repository
38,038_Nature_s41586-024-08570-y_peer_review_file.pdf,Nature,10.1038/s41586-024-08570-y,108,108,215428,215265,False,263,scale_basin_consistency:104; detail_audit:65; claim_evidence_calibration:19,non-verbatim unit index only; raw extracted text not stored in repository
39,039_Nature_s41586-023-06879-8_peer_review_file.pdf,Nature,10.1038/s41586-023-06879-8,104,104,235237,31817,True,39,hydrological_variable_validity:20; claim_evidence_calibration:8; trend_attribution_temporal_support:4,non-verbatim unit index only; raw extracted text not stored in repository
40,040_Nature_s41586-024-08096-3_peer_review_file.pdf,Nature,10.1038/s41586-024-08096-3,204,204,339674,110659,True,90,hydrological_variable_validity:39; scale_basin_consistency:19; detail_audit:12,non-verbatim unit index only; raw extracted text not stored in repository
41,041_Nature_s41586-023-06794-y_peer_review_file.pdf,Nature,10.1038/s41586-023-06794-y,56,56,97451,97351,False,129,scale_basin_consistency:36; model_assumption_sensitivity:21; trend_attribution_temporal_support:21,non-verbatim unit index only; raw extracted text not stored in repository
42,042_Nature_s41586-025-09928-6_peer_review_file.pdf,Nature,10.1038/s41586-025-09928-6,55,55,141387,141176,False,125,detail_audit:21; hydrological_variable_validity:17; scale_basin_consistency:14,non-verbatim unit index only; raw extracted text not stored in repository
43,043_NatureWater_s44221-026-00619-8_peer_review_file.pdf,Nature Water,10.1038/s44221-026-00619-8,31,31,114363,114212,False,116,detail_audit:27; scale_basin_consistency:23; trend_attribution_temporal_support:22,non-verbatim unit index only; raw extracted text not stored in repository
44,044_NatureWater_s44221-026-00671-4_peer_review_file.pdf,Nature Water,10.1038/s44221-026-00671-4,8,8,28539,28363,False,19,scale_basin_consistency:4; model_assumption_sensitivity:4; management_policy_interpretation:3,non-verbatim unit index only; raw extracted text not stored in repository
