pattern_id,gate,claim_type,evidence_risk,reviewer_concern,revision_direction,triggers,severity_hint,supporting_unit_count_by_gate,abstraction_level,source_basis
HYDRO-PAT-011,hydrological_variable_validity,drought impact claim from precipitation anomaly,meteorological anomaly is equated with hydrological or agricultural drought,"Precipitation deficits need propagation through soil moisture, runoff, groundwater or demand pathways.",Use drought typology and include relevant hydrological response metrics.,drought; precipitation anomaly,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-012,hydrological_variable_validity,flood hazard claim from inundation extent,mapped water extent is interpreted as hazard magnitude or damage,"Flood extent alone cannot establish depth, velocity, duration, or damage potential.",Add hydraulic/hazard metrics or constrain the language to inundation mapping.,flood extent; hazard,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-013,hydrological_variable_validity,water-quality load claim from concentration,concentrations are discussed as fluxes or source loads,"Concentration, load and export are not interchangeable in hydrological transport.",Combine concentration with discharge and sampling frequency or revise to concentration-only claims.,concentration; load; flux,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-014,hydrological_variable_validity,evapotranspiration claim,ET product is used without discussing energy/water balance closure,ET estimates are model- and forcing-sensitive and may not diagnose water limitation alone.,Benchmark ET against independent products or flux observations and state closure assumptions.,evapotranspiration; ET,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-015,hydrological_variable_validity,soil-moisture constraint claim,near-surface soil moisture is extended to root-zone or basin storage,Vertical representativeness should be demonstrated before inferring plant or runoff response.,Validate depth sensitivity or limit claim to the observed soil layer.,soil moisture; root zone,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-016,hydrological_variable_validity,lake/wetland hydrology claim,surface area or optical water occurrence is treated as storage change,Area-water-level-storage relations vary by bathymetry and seasonality.,"Use hypsometry, altimetry or bounded language.",lake; wetland; storage,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-017,scale_basin_consistency,basin process from grid output,administrative/grid aggregation ignores drainage boundaries,"Hydrological processes are organized by basins, not arbitrary pixels or administrative units.",Recompute or stratify using watershed boundaries and upstream areas.,grid; basin; administrative,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-018,scale_basin_consistency,local validation for global product,validation basins do not represent target hydroclimates,"A global conclusion requires testing across climate, terrain, river size and human regulation gradients.",Add stratified validation or state geographic limits.,global; validation; region,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-019,scale_basin_consistency,coarse forcing for small catchments,forcing resolution is mismatched to runoff-generating processes,"Sub-grid precipitation, snow and land-use heterogeneity can dominate catchment response.",Quantify resolution sensitivity or limit claims to supported scales.,resolution; catchment,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-020,scale_basin_consistency,station-to-basin inference,point gauge behavior is generalized to basin-scale storage or risk,Gauge locations sample only part of a river network and may not represent upstream hydrology.,"Report network position, contributing area and representativeness.",station; upstream; network,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-021,scale_basin_consistency,river reach comparison,reach-scale hydraulics are conflated with basin-scale hydrology,Reach geometry and backwater effects can alter stage independent of discharge.,Separate reach hydraulics from basin water-balance interpretation.,reach; backwater; river stage,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-022,scale_basin_consistency,delta/coastal groundwater claim,coastal or deltaic units are analyzed without boundary-condition clarity,"Marine boundary, subsidence and river inputs can confound hydrological interpretation.",Define boundary conditions and include sensitivity to sea level/subsidence/river forcing.,delta; coastal; boundary,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-023,scale_basin_consistency,mountain water tower claim,elevation-zone processes are aggregated across basins,"Snow/glacier signals depend on elevation, aspect and melt timing.",Stratify by elevation band and basin outlet relevance.,mountain; elevation; snow,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-024,scale_basin_consistency,urban flood claim,impervious-surface effects are mixed with drainage-network constraints,"Urban flood response depends on sub-catchment drainage, not only rainfall or impervious fraction.",Add drainage-scale analysis or constrain urban interpretation.,urban; drainage; impervious,major if central claim depends on it,940,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-025,sampling_gauge_representativeness,ungauged-basin performance,training regions dominate validation statistics,"Performance in gauged, data-rich basins may not transfer to ungauged basins.",Use leave-region/basin-out validation and report ungauged performance separately.,ungauged; gauge; validation,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-026,sampling_gauge_representativeness,sparse-network trend claim,observing network gaps bias trend or impact assessment,Sparse gauges can create false certainty in regions where impacts matter most.,Map data-density effects and test sensitivity to station availability.,gauge gaps; sparse network,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-027,sampling_gauge_representativeness,remote-sensing validation,in-situ checks are concentrated in a few countries,Regional validation cannot support global error claims.,Expand validation sources or label the error budget as regionally constrained.,in situ; China; United States; GRDC,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-028,sampling_gauge_representativeness,high-flow/low-flow product claim,validation focuses on normal conditions,Products often fail at extremes that drive the paper’s conclusions.,"Report performance by flow percentile, season, and event class.",high flow; low flow; extremes,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-029,sampling_gauge_representativeness,mountain/arid/tropical inference,difficult hydroclimates are underrepresented,"Terrain, aridity and tropical cloud/vegetation conditions alter observability and model behavior.",Stratify validation by hydroclimatic class.,mountain; arid; tropical,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-030,sampling_gauge_representativeness,water-quality monitoring claim,sampling frequency misses event-driven transport,Solute and nutrient fluxes can be dominated by short runoff events.,Assess event sampling bias or use load estimation with uncertainty.,sampling frequency; nutrient; event,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-031,sampling_gauge_representativeness,groundwater observation claim,well distribution does not represent aquifer systems,Monitoring wells are unevenly distributed and may overrepresent managed or accessible aquifers.,"Report well-screen depth, aquifer type and spatial sampling bias.",well; aquifer; monitoring,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-032,sampling_gauge_representativeness,precipitation-network claim,station availability is treated as neutral,Network density itself is a source of uncertainty and can bias impact estimation.,Quantify missing-station influence on downstream hydrological indicators.,precipitation network; data gaps,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-033,validation_independent_testing,ML hydrological prediction,training and evaluation are not independent in space/time,Hydrological autocorrelation can create apparent skill through leakage.,"Use spatial, temporal and basin-holdout validation protocols.",machine learning; prediction; leakage,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-034,validation_independent_testing,data-assimilation product,assimilated observations are reused for evaluation,Evaluation is not independent if it uses data already assimilated or calibrated.,Identify assimilated data and use independent benchmarks.,data assimilation; validation,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-035,validation_independent_testing,model intercomparison claim,benchmark models are weak or inconsistently forced,A claimed advance needs fair comparison with strong baselines and identical inputs.,Benchmark against established models with common forcing and metrics.,benchmark; model intercomparison,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-036,validation_independent_testing,extreme-event forecasting,skill is reported with aggregate metrics only,Mean skill can hide failure for rare high-impact events.,"Include event-based metrics, reliability, lead-time and false-alarm diagnostics.",forecast; extreme event,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-037,validation_independent_testing,remote-sensing algorithm,validation only tests retrieval accuracy but not scientific downstream metrics,A product can be accurate on pixels yet unstable for trends or extremes.,"Validate the derived hydrological indicators, not only retrievals.",algorithm; product; trend,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-038,validation_independent_testing,water-quality model,calibration and validation periods share hydrological regimes,Performance should be tested across wet/dry years and event regimes.,Use independent periods and hydrologic-regime stratification.,calibration; water quality,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-039,validation_independent_testing,ungauged transfer,basins similar to training set dominate apparent generalization,Hydrological transferability requires tests across unseen physiographic classes.,"Use leave-cluster-out validation by climate, geology, regulation and basin size.",transferability; ungauged,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-040,validation_independent_testing,scenario impact analysis,historical validation is insufficient for scenario claims,Scenario credibility depends on process realism under changed forcing.,Add stress tests for non-stationary forcing and parameter sensitivity.,scenario; validation,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-041,trend_attribution_temporal_support,climate-change trend from short satellite record,record length cannot separate forced trend from variability,"Short records support recent variability, not robust climate-change attribution.",Extend with legacy records or reframe as recent change/variability.,Sentinel; 2016-2024; climate change,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-042,trend_attribution_temporal_support,event cluster interpreted as trend,recent extreme years are treated as a monotonic change,Clusters of events can arise from variability and sampling.,Use formal trend tests and event-count uncertainty.,extreme years; trend,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-043,trend_attribution_temporal_support,pre/post comparison,baseline periods are arbitrary or climatologically inconsistent,Attribution depends on defensible baseline and seasonality handling.,Justify baseline selection and test alternate baselines.,baseline; pre-post,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-044,trend_attribution_temporal_support,anthropogenic attribution,human and climate drivers are not separated,"Reservoirs, pumping, irrigation and land use can mimic climate signals.",Decompose drivers or explicitly qualify attribution.,anthropogenic; climate; human,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-045,trend_attribution_temporal_support,long-term extrapolation,observed short-window slope is projected forward,"Linear extrapolation ignores variability, management response and non-stationarity.",Avoid projection or use scenario models with uncertainty.,slope; projection,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-046,trend_attribution_temporal_support,hydrological drought attribution,drought propagation is not traced through storage/flow,Meteorological trends do not prove hydrological drought mechanisms.,"Analyze propagation from precipitation to soil moisture, runoff and groundwater.",drought propagation,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-047,trend_attribution_temporal_support,snow-loss claim,"snow metrics are sensitive to temperature, precipitation phase and elevation","Snow trends need phase, accumulation and melt-process separation.",Stratify by elevation/temperature regime and season.,snow loss; temperature,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-048,trend_attribution_temporal_support,groundwater recovery claim,recovery timing is confounded by pumping and policy changes,Aquifer trends cannot be attributed without withdrawal/recharge context.,"Include pumping, recharge and management histories.",groundwater recovery; pumping,major if central claim depends on it,305,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-049,human_water_interaction,river-flow change,reservoir regulation is acknowledged but not quantified,"Regulation can change timing, amplitude and extremes independent of climate.","Include reservoir indices, dam operation data or sensitivity excluding regulated basins.",reservoir; dam; regulation,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-050,human_water_interaction,water scarcity,withdrawals and return flows are simplified,Human demand and return-flow assumptions can dominate scarcity estimates.,"Report withdrawal, consumption and return-flow uncertainty.",withdrawal; water demand,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-051,human_water_interaction,irrigation impact,irrigation is treated as static or exogenous,"Irrigation adapts to climate, policy and energy constraints.",Model adaptive irrigation behavior or bound demand scenarios.,irrigation; demand,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-052,human_water_interaction,groundwater depletion,pumping data are missing or aggregated,Aquifer decline interpretations require extraction and recharge context.,"Add pumping proxies, management data or caveat driver attribution.",pumping; aquifer,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-053,human_water_interaction,land-use hydrology,land-cover change is used as a driver without runoff-process evidence,"Land-use effects depend on soil, slope, vegetation and rainfall intensity.",Show process pathways or test hydrological response sensitivity.,land use; runoff,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-054,human_water_interaction,transboundary allocation,hydrological availability is mixed with institutional allocation,Equity/efficiency conclusions depend on both flow variability and allocation rules.,Separate physical water availability from rule-based distribution.,transboundary; allocation,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-055,human_water_interaction,urban flood risk,socioeconomic exposure is conflated with drainage-controlled hazard,"Urban risk requires linking rainfall, drainage capacity and exposure.",Add drainage/hydraulic layer or bound claims to exposure.,urban flood; exposure,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-056,human_water_interaction,environmental flow,ecological flow needs are assumed without hydrological regime analysis,"Environmental flows require magnitude, timing, duration and frequency considerations.",Define flow-regime metrics and ecological thresholds.,environmental flow; flow regime,major if central claim depends on it,108,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-057,model_assumption_sensitivity,global hydrological model,model structure omits key water stores or operations,Structural omissions can bias water-balance and extreme-event conclusions.,State structural limits and run sensitivity with alternative models/modules.,global hydrological model; structure,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-058,model_assumption_sensitivity,precipitation forcing,single forcing product drives runoff conclusions,Precipitation uncertainty is often the dominant hydrological forcing uncertainty.,Use multiple forcing products or quantify forcing sensitivity.,precipitation forcing,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-059,model_assumption_sensitivity,ET/runoff partitioning,partitioning is controlled by untested parameter choices,"Water balance partitioning is sensitive to soil, vegetation and calibration assumptions.",Report partitioning diagnostics and parameter sensitivity.,ET; runoff partitioning,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-060,model_assumption_sensitivity,groundwater representation,groundwater is simplified in a surface-water model,Aquifer storage and baseflow errors propagate into drought and low-flow claims.,Clarify groundwater formulation and compare with groundwater observations.,groundwater module; baseflow,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-061,model_assumption_sensitivity,routing assumption,river routing affects timing metrics but is not evaluated,"Routing errors can alter flood timing, travel time and peak attenuation.",Validate routing against hydrographs or travel-time metrics.,routing; flood timing,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-062,model_assumption_sensitivity,reservoir operation module,operation rules are generic or unavailable,Dam operation assumptions can dominate downstream extremes and scarcity.,Test alternative operation rules or isolate regulated basins.,reservoir operation,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-063,model_assumption_sensitivity,scenario ensemble,ensemble spread is presented without model-dependence diagnosis,"Uncertainty is not just spread; it includes model selection, forcing and scenario choices.",Decompose uncertainty sources and avoid overconfident scenario statements.,ensemble; scenario,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-064,model_assumption_sensitivity,calibration period,calibration does not cover extremes or non-stationarity,Models calibrated to normal periods can fail under extremes.,Use regime-stratified calibration/validation or stress testing.,calibration period; extremes,major if central claim depends on it,254,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-065,extreme_event_definition,flood definition,threshold selection changes event count and spatial pattern,Flood conclusions are sensitive to percentile/return-period thresholds.,Justify thresholds and show sensitivity to alternative definitions.,flood threshold,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-066,extreme_event_definition,drought definition,"metric mixes meteorological, agricultural and hydrological drought",Different drought types have different lags and impacts.,Define drought class and propagate across relevant variables.,drought metric,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-067,extreme_event_definition,compound hazard,components are analyzed independently,"Compound risk requires joint dependence, timing and exposure analysis.",Model joint occurrence and dependence rather than stacking single hazards.,compound hazard,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-068,extreme_event_definition,event duration,short spikes and persistent events are conflated,Duration controls hydrological impact and management relevance.,"Report duration, persistence and recovery metrics.",duration; persistence,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-069,extreme_event_definition,antecedent condition,event attribution ignores pre-event storage and soil moisture,Flood and drought severity depends on antecedent catchment state.,Include antecedent moisture/storage diagnostics.,antecedent moisture,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-070,extreme_event_definition,seasonality,annual thresholds ignore seasonal hydrological regimes,A high flow in dry season may be more anomalous than the same flow in wet season.,Use season-specific thresholds or explain annual-threshold choice.,seasonality; threshold,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-071,extreme_event_definition,return period,return periods are estimated from short or non-stationary samples,Rare-event statistics are unstable under short/non-stationary records.,Report uncertainty and consider non-stationary extreme-value methods.,return period,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-072,extreme_event_definition,impact inference,hazard event is treated as social/ecological impact,Hazard occurrence does not prove realized damage or ecological response.,Add impact data or restrict claim to hazard potential.,impact; hazard,major if central claim depends on it,173,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-073,water_quality_transport,nutrient export,sampling misses storm-driven transport pulses,Nutrient export is event-sensitive and cannot be inferred from sparse concentration samples alone.,Use discharge-weighted loads or event sampling uncertainty.,nutrient export; storm,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-074,water_quality_transport,groundwater quality trend,quality trends are not linked to recharge age or hydroclimate,"Groundwater chemistry integrates residence time, recharge and pumping history.",Discuss lag times and aquifer pathways.,groundwater quality; recharge,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-075,water_quality_transport,DOC/wetland runoff,concentration changes are interpreted without hydrological flow paths,Biogeochemical signals need flow-path and residence-time context.,Connect chemistry to runoff generation and wetland connectivity.,DOC; wetland; runoff,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-076,water_quality_transport,contaminant transport,"source, pathway and receptor are collapsed","Transport evidence should distinguish source strength, mobilization and hydrological pathway.",Separate source attribution from transport inference.,contaminant; transport,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-077,water_quality_transport,sediment flux,sediment concentration is treated as morphological change,Sediment load requires flow integration and geomorphic context.,Estimate loads and link to geomorphic process metrics.,sediment; flux,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-078,water_quality_transport,water-quality management,concentration standard is used as ecological or human-health outcome,"Standards, exposure and ecological response are different evidence levels.",Clarify endpoint and avoid outcome claims without endpoint data.,water quality; standard,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-079,water_quality_transport,solute model,reaction and transport processes are underspecified,Hydrological transport cannot be interpreted without reaction or retention assumptions.,State reaction/retention parameters and sensitivity.,solute; reaction,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-080,water_quality_transport,river chemistry trend,trend is not flow-normalized,Changing discharge can create concentration trends unrelated to sources.,Use flow normalization or analyze load and concentration separately.,river chemistry; flow-normalized,major if central claim depends on it,33,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-081,remote_sensing_data_assimilation,satellite altimetry river claim,"retrieval quality depends on river width, slope and surrounding terrain",Altimetry performance is not uniform across rivers and landscapes.,"Report error by river width, slope, land cover and orbit geometry.",satellite altimetry; river width,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-082,remote_sensing_data_assimilation,sensor-era trend,algorithm or sensor changes can mimic hydrological trends,Product discontinuities must be separated from environmental change.,Document sensor/algorithm consistency and run break-point checks.,sensor; algorithm; trend,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-083,remote_sensing_data_assimilation,GRACE storage inference,coarse spatial footprints are mapped to small basins,GRACE-scale signals may not resolve local basin or aquifer processes.,Discuss leakage/scaling and compare with independent data.,GRACE; basin scale,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-084,remote_sensing_data_assimilation,SAR flood mapping,"classification performance differs by vegetation, urban cover and topography","Flood maps can fail in forests, cities and steep terrain.",Report omission/commission errors by land-cover and terrain class.,SAR; flood mapping,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-085,remote_sensing_data_assimilation,data fusion product,fused product inherits untracked biases from inputs,Fusion does not remove input bias unless explicitly corrected and validated.,Trace input uncertainty into final hydrological indicators.,data fusion; bias,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-086,remote_sensing_data_assimilation,data assimilation,assimilation increments are interpreted as process evidence,Assimilation corrections may compensate model error rather than reveal physical change.,Analyze increments separately and avoid overinterpreting them as observations.,assimilation increment,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-087,remote_sensing_data_assimilation,retrieval validation,pixel retrieval accuracy is not evaluated for extremes,Extremes often occur in conditions where retrieval quality degrades.,"Report retrieval quality for high water, snow, cloud, turbidity or dense vegetation cases.",retrieval; extremes,major if central claim depends on it,74,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
