pattern_id,gate,gate_title,pattern_name,claim_type,evidence_risk,reviewer_concern,revision_direction,severity_default,corpus_support_unit_count,support_unit_hashes,verbatim_source_text_included
ENG-PAT-0011,benchmark_and_comparability,Benchmarking and comparability,Metric definition ambiguity,Quantitative performance claim,"Latency, efficiency, sensitivity, accuracy, stability, throughput or yield are not defined consistently.",Readers cannot reproduce or compare the reported performance.,"Define every metric, denominator, time window and normalization; align tables and figures with those definitions.",major,5,5666214eaea3;7e8f33885f6b;c66b97c471f1;5c584b4031fd;e33907d44a5e,false
ENG-PAT-0012,scaling_boundary_and_operating_envelope,"Scaling, boundary and operating envelope",Scale-up assumption without bottleneck analysis,"Scalable manufacturing, deployment or throughput claim","The work extrapolates from small devices or short demonstrations without considering yield, cost, parallelization, heat, mass transport or control complexity.",Scaling may introduce new dominant limitations not present in the proof-of-concept.,Provide a scale-up analysis or explicitly restrict the claim to the demonstrated size and throughput.,major,1,dbd01ba439e6,false
ENG-PAT-0013,scaling_boundary_and_operating_envelope,"Scaling, boundary and operating envelope",Operating envelope underreported,Robust or practical device/system claim,Performance is reported at one or a few operating points rather than across the relevant envelope.,The reported result may be a narrow optimum rather than a robust capability.,"Map performance over load, speed, temperature, humidity, concentration, duration, geometry or dataset shift as appropriate.",major,1,dbd01ba439e6,false
ENG-PAT-0014,model_assumptions_and_sensitivity,Model assumptions and sensitivity,Simulation-as-validation substitution,Model-guided engineering claim,A simulation or optimization result is used as if it independently validates the physical system.,The model may encode assumptions that determine the conclusion.,Separate model prediction from experimental validation; test sensitivity to assumptions and parameters.,major,2,1cecd5f9727a;559694a59626,false
ENG-PAT-0015,model_assumptions_and_sensitivity,Model assumptions and sensitivity,Hidden parameter dependence,Mechanistic or predictive engineering model,"Important parameters are fitted, selected or fixed without uncertainty propagation.",The model may not be predictive outside the calibration set.,"Disclose parameter sources, fitting strategy and sensitivity; test on independent data or unseen conditions.",major,2,1cecd5f9727a;559694a59626,false
ENG-PAT-0016,uncertainty_statistics_and_failure_modes,"Uncertainty, statistics and failure modes",Uncertainty absent from engineering metrics,Performance improvement or reliability claim,"Key metrics are plotted without error bars, sample sizes, confidence intervals or failure rates.",It is impossible to judge whether differences are meaningful and reproducible.,"Report n, variance, error model and failure statistics for each major metric.",major,4,11bf86bdf430;62b9c217c690;b7785a59cfdc;bf258e8fda79,false
ENG-PAT-0017,uncertainty_statistics_and_failure_modes,"Uncertainty, statistics and failure modes",Failure modes hidden behind averages,"Robustness, reliability or safety claim","Aggregate performance masks catastrophic, rare or condition-specific failures.",The manuscript does not show when the design fails or how failure affects the claimed application.,"Include failure taxonomy, worst-case cases, survival/lifetime tests or stress tests matched to the intended use.",major,4,11bf86bdf430;62b9c217c690;b7785a59cfdc;bf258e8fda79,false
ENG-PAT-0018,mechanism_and_causality,Mechanism and causality,Correlation presented as mechanism,Mechanistic explanation of an engineering effect,The manuscript shows a correlation between design parameters and output but does not perturb the causal pathway.,The proposed mechanism may be plausible but not demonstrated.,"Add targeted perturbations, ablations, intermediate measurements or competing-mechanism tests.",major,3,61a4da3fca96;cdab66bfc68a;95c204bb9935,false
ENG-PAT-0019,mechanism_and_causality,Mechanism and causality,Multiple plausible mechanisms unresolved,"Physical, chemical or biological mechanism claim",Alternative mechanisms could explain the same performance trend.,The central explanatory claim is underdetermined by the evidence.,State alternative explanations and add discriminating experiments or narrow the claim to phenomenology.,major,3,61a4da3fca96;cdab66bfc68a;95c204bb9935,false
ENG-PAT-0020,materials_devices_and_fabrication,"Materials, devices and fabrication",Fabrication reproducibility not demonstrated,Manufacturable device or material platform,Only selected devices or batches are reported; yield and batch-to-batch variation are absent.,The device performance may depend on unreported fabrication variability.,"Report process window, yield, rejected devices, batch statistics and critical fabrication tolerances.",major,5,54deb57f1cc8;eee234b67660;8f3858bc9fd0;adedf659b5ee;87a3d4f078f7,false
ENG-PAT-0021,materials_devices_and_fabrication,"Materials, devices and fabrication",Interface and ageing effects omitted,"Long-lived material, device or implant performance","Tests do not capture interface degradation, fouling, fatigue, hysteresis, drift or environmental ageing.",Short-term performance may not support lifetime or deployment claims.,"Add accelerated ageing, cyclic tests, post-test characterization or restrict lifetime claims.",major,5,54deb57f1cc8;eee234b67660;8f3858bc9fd0;adedf659b5ee;87a3d4f078f7,false
ENG-PAT-0022,robotics_control_and_embodiment,"Robotics, control and embodiment",Controller tested only in permissive environments,Robotic autonomy or control claim,"Robots are evaluated in simple arenas, limited tasks or hand-curated scenarios.","The controller may not be robust to perturbations, terrain, contact dynamics or distribution shift.","Add perturbation tests, task diversity, held-out environments and comparisons to simpler control policies.",major,3,3b15aefa8e6f;e85f14651970;b5fdd879ab8c,false
ENG-PAT-0023,robotics_control_and_embodiment,"Robotics, control and embodiment",Embodiment contribution unclear,Robot morphology or embodied intelligence claim,"The study does not separate hardware morphology, sensing, actuation and control algorithm contributions.",The claimed design principle may be attributable to one subsystem or to tuning rather than embodiment.,Use ablations and matched controllers/morphologies to isolate the contribution of each subsystem.,major,3,3b15aefa8e6f;e85f14651970;b5fdd879ab8c,false
ENG-PAT-0024,biomedical_and_bioengineering_translation,Biomedical and bioengineering translation,Translation claim beyond biological validation,"Biomedical device, implant, therapeutic or diagnostic claim",The evidence is limited to in vitro or short animal studies but the claims imply clinical or translational readiness.,"Safety, immune response, off-target effects, biodistribution, durability or manufacturing controls remain unresolved.","Use cautious translational language and add relevant safety, dose-response, durability or in vivo controls.",major,6,c7d19aac0ac3;88a1331623bd;934adad17866;fab50d1723af;6e25b47e5841,false
ENG-PAT-0025,biomedical_and_bioengineering_translation,Biomedical and bioengineering translation,Biological context under-specified,"Bioengineering performance in cells, tissues or organisms","Cell line, animal model, patient-like heterogeneity or biological confounders are not sufficiently specified.",The engineering effect may not generalize across biological contexts.,Clarify biological model choice and test representative heterogeneity where it is central to the claim.,major,6,c7d19aac0ac3;88a1331623bd;934adad17866;fab50d1723af;6e25b47e5841,false
ENG-PAT-0026,automation_ai_and_closed_loop_systems,"Automation, AI and closed-loop systems",Closed-loop autonomy overstated,"Autonomous laboratory, AI scientist or self-driving system claim","Human intervention, curated search space or hard-coded constraints are not separated from autonomous decision-making.",The system may be automated execution rather than autonomous discovery or reasoning.,"Disclose human inputs, constraints, stopping rules and decision logic; compare against manual or non-adaptive baselines.",major,4,93b4a5578c26;e059dbac0026;20d077dd8196;628c2ac451d0,false
ENG-PAT-0027,automation_ai_and_closed_loop_systems,"Automation, AI and closed-loop systems",Training-test leakage or narrow benchmark,AI-assisted engineering performance claim,"Training, tuning, benchmark selection or prompt engineering may contaminate evaluation.","The reported gain may not transfer to unseen designs, tasks or laboratories.","Use held-out tasks, disclose tuning protocol, separate development and evaluation sets, and include strong non-AI baselines.",major,4,93b4a5578c26;e059dbac0026;20d077dd8196;628c2ac451d0,false
ENG-PAT-0028,reproducibility_data_and_code,"Reproducibility, data and code",Insufficient protocol for reproduction,Reproducible engineering method or device,"Critical materials, process parameters, calibration steps, code or data are unavailable or under-specified.",A competent reader could not reproduce the core result.,"Provide executable code, raw/processed data, full protocols, calibration details and versioned dependencies where possible.",major,1,1079572da957,false
ENG-PAT-0029,reproducibility_data_and_code,"Reproducibility, data and code",Unavailable negative results or selection criteria,Robust design or discovery workflow,"The manuscript reports successful designs but not failed trials, exclusion criteria or selection filters.",The apparent efficiency or reliability may be biased by selective reporting.,"Report screening funnel, failed variants, exclusion criteria and all material/device/sample counts.",major,1,1079572da957,false
ENG-PAT-0030,detail_audit_and_presentation,Detail audit and presentation,Figure-to-claim mismatch,Quantitative interpretation based on visual evidence,Figures show qualitative examples while text uses them to make quantitative or general claims.,The evidence anchor for major claims is unclear or insufficiently quantified.,"Add quantitative summaries, sample sizes, units, axis definitions and source-data links for claim-bearing figures.",minor_to_major,5,4abdd2670604;4a4874be4b8f;e7f0d1482d32;d90b481f00b3;92ce58c2082c,false
ENG-PAT-0031,detail_audit_and_presentation,Detail audit and presentation,Terminology and unit ambiguity,Technical communication and comparability,"Definitions, symbols, units or abbreviations vary across the manuscript, figures and supplement.",Ambiguity prevents evaluation of methods and comparison with prior work.,"Standardize definitions, add notation tables and ensure captions carry all units and measurement conditions.",minor_to_major,5,4abdd2670604;4a4874be4b8f;e7f0d1482d32;d90b481f00b3;92ce58c2082c,false
ENG-PAT-0032,materials_devices_and_fabrication,"Materials, devices and fabrication",Device yield vs selected exemplar,"Materials, devices and fabrication",A device paper reports an impressive exemplar but not yield across fabricated units.,The conclusion may be stronger than the demonstrated engineering evidence.,"Report unit counts, process yield, failed devices and batch-level variability.",major,5,54deb57f1cc8;eee234b67660;8f3858bc9fd0;adedf659b5ee;87a3d4f078f7,false
ENG-PAT-0033,materials_devices_and_fabrication,"Materials, devices and fabrication",Stability tested below use intensity,"Materials, devices and fabrication",Durability tests are shorter or milder than the claimed deployment regime.,The conclusion may be stronger than the demonstrated engineering evidence.,"Extend cycling, stress or storage tests and state practical lifetime limits.",major,5,54deb57f1cc8;eee234b67660;8f3858bc9fd0;adedf659b5ee;87a3d4f078f7,false
ENG-PAT-0034,robotics_control_and_embodiment,"Robotics, control and embodiment",Task diversity gap,"Robotics, control and embodiment","The robot succeeds in one task class but the title implies general manipulation, locomotion or autonomy.",The conclusion may be stronger than the demonstrated engineering evidence.,Add task diversity and failure analysis or narrow the robot capability claim.,major,3,3b15aefa8e6f;e85f14651970;b5fdd879ab8c,false
ENG-PAT-0035,robotics_control_and_embodiment,"Robotics, control and embodiment",Simulation-real transfer gap,"Robotics, control and embodiment",Simulation performance is emphasized without enough real-world transfer evidence.,The conclusion may be stronger than the demonstrated engineering evidence.,"Report sim-to-real assumptions, real-world trials and domain randomization or adaptation details.",major,3,3b15aefa8e6f;e85f14651970;b5fdd879ab8c,false
ENG-PAT-0036,biomedical_and_bioengineering_translation,Biomedical and bioengineering translation,Safety endpoint incompleteness,Biomedical and bioengineering translation,"Efficacy endpoints are stronger than toxicity, immune, off-target or durability endpoints.",The conclusion may be stronger than the demonstrated engineering evidence.,Add safety endpoints matched to the proposed biomedical application.,major,6,c7d19aac0ac3;88a1331623bd;934adad17866;fab50d1723af;6e25b47e5841,false
ENG-PAT-0037,automation_ai_and_closed_loop_systems,"Automation, AI and closed-loop systems",Search-space dependence,"Automation, AI and closed-loop systems",Autonomous discovery claims depend on a manually restricted search space.,The conclusion may be stronger than the demonstrated engineering evidence.,Make the search-space design explicit and compare adaptive against non-adaptive search.,major,4,93b4a5578c26;e059dbac0026;20d077dd8196;628c2ac451d0,false
