file_name,doi,journal,article_title,unit_count
2025_nature_s41586-025-09450-9_peer_review.pdf,10.1038/s41586-025-09450-9,Nature,Systematic attribution of heatwaves to emissions of carbon majors,132
2025_nature_s41586-025-09439-4_peer_review.pdf,10.1038/s41586-025-09439-4,Nature,Reduced Atlantic reef growth past 2 °C warming amplifies sea-level impacts,23
2025_nature_s41586-025-09660-1_peer_review.pdf,10.1038/s41586-025-09660-1,Nature,Energy flows reveal declining ecosystem functions by animals across Africa,13
2025_nature_s41586-025-09802-5_peer_review.pdf,10.1038/s41586-025-09802-5,Nature,Emerging climate impact on carbon sinks in a consolidated carbon budget,95
2025_nature_s41586-025-09788-0_peer_review.pdf,10.1038/s41586-025-09788-0,Nature,Land-use change undermines the stability of avian functional diversity,119
2025_nature_s41586-025-09781-7_peer_review.pdf,10.1038/s41586-025-09781-7,Nature,A place-based assessment of biodiversity intactness in sub-Saharan Africa,73
2025_nature_s41586-025-09806-1_peer_review.pdf,10.1038/s41586-025-09806-1,Nature,The global hydrogen budget,142
2026_nature_s41586-025-10039-5_peer_review.pdf,10.1038/s41586-025-10039-5,Nature,Rising atmospheric CO2 reduces nitrogen availability in boreal forests,89
2026_nature_s41586-026-10155-w_peer_review.pdf,10.1038/s41586-026-10155-w,Nature,Limited thermal tolerance in tropical insects and its genomic signature,6
2026_nature_s41586-026-10237-9_peer_review.pdf,10.1038/s41586-026-10237-9,Nature,Moderate global warming does not rule out extreme global climate outcomes,93
2026_nature_s41586-026-10300-5_peer_review.pdf,10.1038/s41586-026-10300-5,Nature,Precipitation observing network gaps limit climate change impact assessment,7
2026_nature_s41586-026-10365-2_peer_review.pdf,10.1038/s41586-026-10365-2,Nature,Biodiversity resilience in a tropical rainforest,81
2026_nature_s41586-026-10421-x_peer_review.pdf,10.1038/s41586-026-10421-x,Nature,Pollinators support the nutrition and income of vulnerable communities,80
2026_nature_s41586-026-10455-1_peer_review.pdf,10.1038/s41586-026-10455-1,Nature,Tree community resource economics control soil food web multifunctionality,43
2026_nature_s41586-026-10456-0_peer_review.pdf,10.1038/s41586-026-10456-0,Nature,Deforestation-induced drying lowers Amazon climate threshold,187
2026_nature_s41586-026-10498-4_peer_review.pdf,10.1038/s41586-026-10498-4,Nature,Predicting temporal stability and resilience from resistance and recovery,98
2026_nature_s41586-026-10607-3_peer_review.pdf,10.1038/s41586-026-10607-3,Nature,Temporary carbon dioxide removal to offset short-lived climate forcers,117
2026_nature_s41586-026-10551-2_peer_review.pdf,10.1038/s41586-026-10551-2,Nature,Mining triggers extensive additional deforestation in sub-Saharan Africa,45
2026_nature_s41586-026-10664-8_peer_review.pdf,10.1038/s41586-026-10664-8,Nature,Rock weathering can counteract river CO2 emissions induced by permafrost thaw,140
2024_ncomms_s41467-024-46282-z_peer_review.pdf,10.1038/s41467-024-46282-z,Nature Communications,Warming underpins community turnover in temperate freshwater and terrestrial communities,18
2024_ncomms_s41467-024-46263-2_peer_review.pdf,10.1038/s41467-024-46263-2,Nature Communications,Marine heatwaves disrupt ecosystem structure and function via altered food webs and energy flux,123
2024_ncomms_s41467-024-48640-3_peer_review.pdf,10.1038/s41467-024-48640-3,Nature Communications,An integrated spatio-temporal view of riverine biodiversity using environmental DNA metabarcoding,92
2024_ncomms_s41467-024-52993-0_peer_review.pdf,10.1038/s41467-024-52993-0,Nature Communications,Deconstructing the geography of human impacts on species' natural distribution,224
2024_ncomms_s41467-024-54304-z_peer_review.pdf,10.1038/s41467-024-54304-z,Nature Communications,Decoupled responses of plants and soil biota to global change across the world's land ecosystems,35
2025_ncomms_s41467-025-59974-x_peer_review.pdf,10.1038/s41467-025-59974-x,Nature Communications,Two major ecological shifts shaped 60 million years of ungulate faunal evolution,50
2025_ncomms_s41467-025-63246-z_peer_review.pdf,10.1038/s41467-025-63246-z,Nature Communications,Temporal complexity of terrestrial ecosystem functioning and its drivers,148
2025_ncomms_s41467-025-63428-9_peer_review.pdf,10.1038/s41467-025-63428-9,Nature Communications,Unravelling the drivers of marine biodiversity across the Phanerozoic,46
2025_ncomms_s41467-025-65751-7_peer_review.pdf,10.1038/s41467-025-65751-7,Nature Communications,Biodiversity benefits of China's 20-year efforts in forest restoration,22
2025_ncomms_s41467-025-67125-5_peer_review.pdf,10.1038/s41467-025-67125-5,Nature Communications,Current protected areas provide limited benefits for European river biodiversity,11
2025_ncomms_s41467-025-67676-7_peer_review.pdf,10.1038/s41467-025-67676-7,Nature Communications,Airborne eDNA captures three decades of ecosystem biodiversity,20
2026_ncomms_s41467-025-68187-1_peer_review.pdf,10.1038/s41467-025-68187-1,Nature Communications,Widespread slowdown in short-term species turnover despite accelerating climate change,14
2024_natecolevol_s41559-024-02450-4_peer_review.pdf,10.1038/s41559-024-02450-4,Nature Ecology & Evolution,Global evaluation of current and future threats to drylands and their vertebrate biodiversity,0
2025_natecolevol_s41559-025-02664-0_peer_review.pdf,10.1038/s41559-025-02664-0,Nature Ecology & Evolution,Global hotspots of butterfly diversity are threatened in a warming world,78
2025_natecolevol_s41559-025-02746-z_peer_review.pdf,10.1038/s41559-025-02746-z,Nature Ecology & Evolution,Threat reduction must be coupled with targeted recovery programmes to conserve global bird diversity,65
2025_natecolevol_s41559-025-02911-4_peer_review.pdf,10.1038/s41559-025-02911-4,Nature Ecology & Evolution,Impacts of an industrial deep-sea mining trial on macrofaunal biodiversity,115
2026_natecolevol_s41559-025-02966-3_peer_review.pdf,10.1038/s41559-025-02966-3,Nature Ecology & Evolution,A digital twin for real-time biodiversity forecasting with citizen science data,136
2026_natecolevol_s41559-026-03025-1_peer_review.pdf,10.1038/s41559-026-03025-1,Nature Ecology & Evolution,A comprehensive dated phylogeny of China's vascular plants reveals a hidden global biodiversity hotspot,86
2026_natecolevol_s41559-026-03095-1_peer_review.pdf,10.1038/s41559-026-03095-1,Nature Ecology & Evolution,Landscape quality drives ecological responses to habitat loss and fragmentation,62
