unit_id,source_id,journal,year,unit_type,severity,claim_target,cluster,non_verbatim_index
unit_000020,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000021,nature_remote_sensing_review_0001,Nature,2024,major_concern,major,"causal or attribution claim, methodological support","Figures, extended data, and evidentiary display",true
unit_000022,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,uncertainty claim,"Methods, results, discussion structure, and explanatory clarity",true
unit_000023,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000024,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Boreal forests, burned area, fire size, and post-fire surface response",true
unit_000025,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000026,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000027,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000028,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000029,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000030,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000031,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,"uncertainty claim, figure evidence","Figures, extended data, and evidentiary display",true
unit_000032,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000033,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,"trend interpretation, causal or attribution claim, model performance","Long-term time series, climate variability, and trend interpretation",true
unit_000034,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,model performance,"Methods, results, discussion structure, and explanatory clarity",true
unit_000035,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,model performance,"Methods, results, discussion structure, and explanatory clarity",true
unit_000036,nature_remote_sensing_review_0001,Nature,2024,contribution_assessment,moderate,"trend interpretation, table evidence","Long-term time series, climate variability, and trend interpretation",true
unit_000037,nature_remote_sensing_review_0001,Nature,2024,contribution_assessment,moderate,"causal or attribution claim, model performance","Spatial data, resolution, and product coverage",true
unit_000038,nature_remote_sensing_review_0001,Nature,2024,contribution_assessment,moderate,trend interpretation,"Long-term time series, climate variability, and trend interpretation",true
unit_000039,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,"trend interpretation, model performance, methodological support","Long-term time series, climate variability, and trend interpretation",true
unit_000040,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000041,nature_remote_sensing_review_0001,Nature,2024,figure_or_table_comment,moderate,"model performance, table evidence","Machine learning, model performance, and generalization",true
unit_000042,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000043,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,trend interpretation,"Long-term time series, climate variability, and trend interpretation",true
unit_000044,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,methodological support,"Spatial data, resolution, and product coverage",true
unit_000045,nature_remote_sensing_review_0001,Nature,2024,revision_assessment,moderate,table evidence,"Figures, extended data, and evidentiary display",true
unit_000046,nature_remote_sensing_review_0001,Nature,2024,revision_assessment,major,"trend interpretation, model performance, methodological support","Machine learning, model performance, and generalization",true
unit_000047,nature_remote_sensing_review_0001,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000048,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,"model performance, methodological support, algorithm validity","Machine learning, model performance, and generalization",true
unit_000049,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,"trend interpretation, model performance","Long-term time series, climate variability, and trend interpretation",true
unit_000050,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,"model performance, methodological support","Methods, results, discussion structure, and explanatory clarity",true
unit_000051,nature_remote_sensing_review_0002,Nature,2024,major_concern,major,methodological support,"Methods, results, discussion structure, and explanatory clarity",true
unit_000052,nature_remote_sensing_review_0002,Nature,2024,line_comment,minor,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000053,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000054,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000055,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000056,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000057,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000058,nature_remote_sensing_review_0002,Nature,2024,line_comment,minor,model performance,"Methods, results, discussion structure, and explanatory clarity",true
unit_000059,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,model performance,"Methods, results, discussion structure, and explanatory clarity",true
unit_000060,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000061,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,model performance,"Remote-sensing context, citation positioning, and prior work",true
unit_000062,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000063,nature_remote_sensing_review_0002,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000064,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000065,nature_remote_sensing_review_0002,Nature,2024,contribution_assessment,minor,global generalization,"Methods, results, discussion structure, and explanatory clarity",true
unit_000066,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,minor,figure evidence,"Spatial data, resolution, and product coverage",true
unit_000067,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000068,nature_remote_sensing_review_0002,Nature,2024,major_concern,major,methodological support,"Methods, results, discussion structure, and explanatory clarity",true
unit_000069,nature_remote_sensing_review_0002,Nature,2024,major_concern,major,global generalization,"Methods, results, discussion structure, and explanatory clarity",true
unit_000070,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000071,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000072,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000073,nature_remote_sensing_review_0002,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000074,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000075,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Spatial data, resolution, and product coverage",true
unit_000076,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,table evidence,"Figures, extended data, and evidentiary display",true
unit_000077,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,global generalization,"Figures, extended data, and evidentiary display",true
unit_000078,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000079,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,"global generalization, model performance, methodological support","Machine learning, model performance, and generalization",true
unit_000080,nature_remote_sensing_review_0002,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000081,nature_remote_sensing_review_0002,Nature,2024,minor_comment,minor,"model performance, methodological support","Machine learning, model performance, and generalization",true
unit_000082,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,minor,"model performance, figure evidence","Machine learning, model performance, and generalization",true
unit_000083,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Emission, source attribution, and plume-like inference",true
unit_000084,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000085,nature_remote_sensing_review_0002,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000086,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000087,nature_remote_sensing_review_0002,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Machine learning, model performance, and generalization",true
unit_000088,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000089,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,methodological support,"Machine learning, model performance, and generalization",true
unit_000090,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000091,nature_remote_sensing_review_0002,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000092,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000093,nature_remote_sensing_review_0002,Nature,2024,minor_comment,minor,methodological support,"Spatial data, resolution, and product coverage",true
unit_000094,nature_remote_sensing_review_0002,Nature,2024,line_comment,minor,manuscript claim or supporting evidence,"Concern resolution, code, publication readiness, and reproducibility",true
unit_000095,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000096,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000097,nature_remote_sensing_review_0002,Nature,2024,figure_or_table_comment,minor,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000098,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000099,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000100,nature_remote_sensing_review_0002,Nature,2024,minor_comment,minor,methodological support,"Methods, results, discussion structure, and explanatory clarity",true
unit_000101,nature_remote_sensing_review_0002,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000102,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000103,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000104,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000105,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,minor,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000106,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000107,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000108,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000109,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000110,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"River, water storage, sediment, tidal, and hydraulic interpretation",true
unit_000111,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,table evidence,"Figures, extended data, and evidentiary display",true
unit_000112,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000113,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000114,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"River, water storage, sediment, tidal, and hydraulic interpretation",true
unit_000115,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000116,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000117,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,minor,"figure evidence, table evidence","Long-term time series, climate variability, and trend interpretation",true
unit_000118,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000119,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000120,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000121,nature_remote_sensing_review_0003,Nature,2024,line_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000122,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000123,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000124,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000125,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000126,nature_remote_sensing_review_0003,Nature,2024,line_comment,major,manuscript claim or supporting evidence,"River, water storage, sediment, tidal, and hydraulic interpretation",true
unit_000127,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,moderate,"model performance, figure evidence, table evidence","Figures, extended data, and evidentiary display",true
unit_000128,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000129,nature_remote_sensing_review_0003,Nature,2024,line_comment,minor,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000130,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Tree cover, land cover, land-use change, and mapping definitions",true
unit_000131,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000132,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000133,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000134,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000135,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,minor,trend interpretation,"Long-term time series, climate variability, and trend interpretation",true
unit_000136,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,minor,trend interpretation,"Long-term time series, climate variability, and trend interpretation",true
unit_000137,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,minor,model performance,"Remote-sensing context, citation positioning, and prior work",true
unit_000138,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,global generalization,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000139,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000140,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,model performance,"Figures, extended data, and evidentiary display",true
unit_000141,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000142,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,major,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000143,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000144,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000145,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
unit_000146,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000147,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000148,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Urban, inter-city, and SDG-impact interpretation",true
unit_000149,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000150,nature_remote_sensing_review_0003,Nature,2024,major_concern,major,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000151,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000152,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000153,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000154,nature_remote_sensing_review_0003,Nature,2024,line_comment,minor,table evidence,"Figures, extended data, and evidentiary display",true
unit_000155,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000156,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000157,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,global generalization,"Methods, results, discussion structure, and explanatory clarity",true
unit_000158,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000159,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000160,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000161,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,moderate,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000162,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000163,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000164,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000165,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,model performance,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000166,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000167,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,methodological support,"Methods, results, discussion structure, and explanatory clarity",true
unit_000168,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,"model performance, methodological support","Methods, results, discussion structure, and explanatory clarity",true
unit_000169,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000170,nature_remote_sensing_review_0003,Nature,2024,revision_assessment,moderate,manuscript claim or supporting evidence,"Concern resolution, code, publication readiness, and reproducibility",true
unit_000171,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000172,nature_remote_sensing_review_0003,Nature,2024,minor_comment,minor,manuscript claim or supporting evidence,"Figures, extended data, and evidentiary display",true
unit_000173,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000174,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000175,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000176,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000177,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000178,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000179,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000180,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000181,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000182,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,global generalization,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000183,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,global generalization,"Figures, extended data, and evidentiary display",true
unit_000184,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,global generalization,"River, water storage, sediment, tidal, and hydraulic interpretation",true
unit_000185,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,global generalization,"Spatial data, resolution, and product coverage",true
unit_000186,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Emission, source attribution, and plume-like inference",true
unit_000187,nature_remote_sensing_review_0003,Nature,2024,moderate_concern,moderate,model performance,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000188,nature_remote_sensing_review_0003,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000189,nature_remote_sensing_review_0003,Nature,2024,contribution_assessment,moderate,manuscript claim or supporting evidence,"Long-term time series, climate variability, and trend interpretation",true
unit_000190,nature_remote_sensing_review_0003,Nature,2024,figure_or_table_comment,minor,manuscript claim or supporting evidence,"Amazon, forest cover, land-use pressure, and forest resilience",true
unit_000191,nature_remote_sensing_review_0003,Nature,2024,line_comment,minor,manuscript claim or supporting evidence,"Spatial data, resolution, and product coverage",true
