pattern_id,gate,scope,claim_type,trigger,reviewer_concern,evidence_risk,revision_direction,severity_default,support_units,support_dois,style_note,non_verbatim
MS-PAT-0022,data_code_materials_and_reporting_completeness,optical_photonic_and_emissive_materials,reproducibility_or_reporting_claim,When optical photonic and emissive materials claims rely on data code materials and reporting completeness evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",moderate,16,5,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0023,data_code_materials_and_reporting_completeness,porous_frameworks_and_sorbents,reproducibility_or_reporting_claim,When porous frameworks and sorbents claims rely on data code materials and reporting completeness evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",major,32,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0024,data_code_materials_and_reporting_completeness,soft_polymers_and_bioelectronic_materials,reproducibility_or_reporting_claim,When soft polymers and bioelectronic materials claims rely on data code materials and reporting completeness evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",major,95,10,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0025,data_code_materials_and_reporting_completeness,two_dimensional_and_electronic_materials,reproducibility_or_reporting_claim,When two dimensional and electronic materials claims rely on data code materials and reporting completeness evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",major,109,18,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0026,editorial_significance_and_novelty,cross_materials_science,novel_material_or_general_advance_claim,When a manuscript makes a novel material or general advance claim.,"Reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",major,444,41,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0027,editorial_significance_and_novelty,computational_materials_design,novel_material_or_general_advance_claim,When computational materials design claims rely on editorial significance and novelty evidence.,"In computational materials design, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",major,41,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0028,editorial_significance_and_novelty,energy_and_electrochemical_materials,novel_material_or_general_advance_claim,When energy and electrochemical materials claims rely on editorial significance and novelty evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",major,90,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0029,editorial_significance_and_novelty,general_materials_science,novel_material_or_general_advance_claim,When general materials science claims rely on editorial significance and novelty evidence.,"In general materials science, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",moderate,9,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0030,editorial_significance_and_novelty,optical_photonic_and_emissive_materials,novel_material_or_general_advance_claim,When optical photonic and emissive materials claims rely on editorial significance and novelty evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",moderate,12,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0031,editorial_significance_and_novelty,porous_frameworks_and_sorbents,novel_material_or_general_advance_claim,When porous frameworks and sorbents claims rely on editorial significance and novelty evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",major,69,16,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0032,editorial_significance_and_novelty,soft_polymers_and_bioelectronic_materials,novel_material_or_general_advance_claim,When soft polymers and bioelectronic materials claims rely on editorial significance and novelty evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",major,89,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0033,editorial_significance_and_novelty,two_dimensional_and_electronic_materials,novel_material_or_general_advance_claim,When two dimensional and electronic materials claims rely on editorial significance and novelty evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",major,131,21,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0034,property_measurement_and_metric_validity,cross_materials_science,material_property_or_performance_claim,When a manuscript makes a material property or performance claim.,"Reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",major,247,35,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0035,property_measurement_and_metric_validity,computational_materials_design,material_property_or_performance_claim,When computational materials design claims rely on property measurement and metric validity evidence.,"In computational materials design, reviewers commonly test whether reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",moderate,8,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0036,property_measurement_and_metric_validity,energy_and_electrochemical_materials,material_property_or_performance_claim,When energy and electrochemical materials claims rely on property measurement and metric validity evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",major,46,11,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0037,property_measurement_and_metric_validity,optical_photonic_and_emissive_materials,material_property_or_performance_claim,When optical photonic and emissive materials claims rely on property measurement and metric validity evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",moderate,11,3,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0038,property_measurement_and_metric_validity,porous_frameworks_and_sorbents,material_property_or_performance_claim,When porous frameworks and sorbents claims rely on property measurement and metric validity evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",major,27,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0039,property_measurement_and_metric_validity,soft_polymers_and_bioelectronic_materials,material_property_or_performance_claim,When soft polymers and bioelectronic materials claims rely on property measurement and metric validity evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",moderate,11,6,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0040,property_measurement_and_metric_validity,two_dimensional_and_electronic_materials,material_property_or_performance_claim,When two dimensional and electronic materials claims rely on property measurement and metric validity evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers challenge sensitivity, capacity, modulus, conductivity, efficiency, adsorption, or other property measurements.","The selected metric, measurement protocol, or unit normalization may not support the claimed performance.","Define protocols, justify metrics, normalize consistently, add controls, and report uncertainty and replicate statistics.",major,135,16,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0041,reader_logic_and_figure_narrative,cross_materials_science,presentation_or_cross_field_accessibility_claim,When a manuscript makes a presentation or cross field accessibility claim.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",minor_to_major,707,42,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0042,reader_logic_and_figure_narrative,computational_materials_design,presentation_or_cross_field_accessibility_claim,When computational materials design claims rely on reader logic and figure narrative evidence.,"In computational materials design, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,136,3,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0043,reader_logic_and_figure_narrative,energy_and_electrochemical_materials,presentation_or_cross_field_accessibility_claim,When energy and electrochemical materials claims rely on reader logic and figure narrative evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,123,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0044,reader_logic_and_figure_narrative,general_materials_science,presentation_or_cross_field_accessibility_claim,When general materials science claims rely on reader logic and figure narrative evidence.,"In general materials science, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,25,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0045,reader_logic_and_figure_narrative,manufacturing_processing_and_device_integration,presentation_or_cross_field_accessibility_claim,When manufacturing processing and device integration claims rely on reader logic and figure narrative evidence.,"In manufacturing processing and device integration, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",moderate,17,2,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0046,reader_logic_and_figure_narrative,optical_photonic_and_emissive_materials,presentation_or_cross_field_accessibility_claim,When optical photonic and emissive materials claims rely on reader logic and figure narrative evidence.,"In optical photonic and emissive materials, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,23,5,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0047,reader_logic_and_figure_narrative,porous_frameworks_and_sorbents,presentation_or_cross_field_accessibility_claim,When porous frameworks and sorbents claims rely on reader logic and figure narrative evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,51,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0048,reader_logic_and_figure_narrative,soft_polymers_and_bioelectronic_materials,presentation_or_cross_field_accessibility_claim,When soft polymers and bioelectronic materials claims rely on reader logic and figure narrative evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,103,10,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0049,reader_logic_and_figure_narrative,two_dimensional_and_electronic_materials,presentation_or_cross_field_accessibility_claim,When two dimensional and electronic materials claims rely on reader logic and figure narrative evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",major,229,17,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0050,scalability_processability_and_application_boundary,cross_materials_science,application_or_translation_claim,When a manuscript makes a application or translation claim.,"Reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",major,146,28,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0051,scalability_processability_and_application_boundary,porous_frameworks_and_sorbents,application_or_translation_claim,When porous frameworks and sorbents claims rely on scalability processability and application boundary evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",major,23,7,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0052,scalability_processability_and_application_boundary,soft_polymers_and_bioelectronic_materials,application_or_translation_claim,When soft polymers and bioelectronic materials claims rely on scalability processability and application boundary evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",moderate,9,6,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0053,scalability_processability_and_application_boundary,two_dimensional_and_electronic_materials,application_or_translation_claim,When two dimensional and electronic materials claims rely on scalability processability and application boundary evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",major,102,13,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0054,stability_durability_and_operando_relevance,cross_materials_science,stability_or_long_term_utility_claim,When a manuscript makes a stability or long term utility claim.,"Reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",major,149,21,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0055,stability_durability_and_operando_relevance,energy_and_electrochemical_materials,stability_or_long_term_utility_claim,When energy and electrochemical materials claims rely on stability durability and operando relevance evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",moderate,8,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
