pattern_id,domain,gate,title,concern,evidence_risk,revision_direction,severity,triggers,source_fields
POLAR-SAMP-004,polar-earth-system-orchestrator,sampling_representativeness,Cruise track treated as synoptic map,Shipboard observations collected over days or weeks are interpreted as a simultaneous spatial field.,Temporal evolution along the cruise can alias into apparent spatial gradients.,"Model or remove temporal drift, use repeat sections or autonomous observations, and report the synoptic limitation.",major,cruise track; transect map; spatial gradient,"{""claim_type"": ""ocean observation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-002"", ""NP-019""], ""verbatim_review_text"": false}"
POLAR-SAMP-005,polar-earth-system-orchestrator,sampling_representativeness,Validation sites overlap development sites,"The same stations, cores, scenes, transects, or reanalysis-constrained products contribute to algorithm tuning and reported validation.",Circular validation inflates apparent accuracy and may hide regional failure.,"Create a genuinely independent holdout by site, period, sensor, or region and disclose all data dependencies.",major,calibration and validation; training sites; cross-validation,"{""claim_type"": ""product validation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-011"", ""NP-016"", ""NP-021""], ""verbatim_review_text"": false}"
POLAR-SAMP-006,polar-earth-system-orchestrator,sampling_representativeness,Biological samples ignore habitat structure,"Ecological samples are pooled across ice edge, open water, under-ice, benthic, stream, or terrestrial habitats without a design that represents their area and season.",Habitat imbalance can be mistaken for a climate or ice effect.,"Use stratified sampling or multilevel models, report habitat-specific effects, and weight only with defensible habitat prevalence.",major,microbiome; food web; ice edge; habitat,"{""claim_type"": ""ecological sampling"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-013"", ""NP-024""], ""verbatim_review_text"": false}"
POLAR-SAMP-007,polar-earth-system-orchestrator,sampling_representativeness,Core or archive is spatially overinterpreted,"One sediment core, lake, or ice core is used to infer regional climate without demonstrating source area and replication.","Local catchment, accumulation, advection, and post-depositional effects may dominate the record.","Constrain the source footprint, compare independent nearby archives, and state the spatial scale actually supported.",major,single core; lake sediment; ice core; regional climate,"{""claim_type"": ""paleoclimate archive"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-001"", ""NP-015"", ""NP-023""], ""verbatim_review_text"": false}"
POLAR-SAMP-008,polar-earth-system-orchestrator,sampling_representativeness,Missingness assumed random,"Cloud, darkness, instrument failure, unsafe conditions, melt contamination, or inaccessible terrain creates missing data that are treated as random.",Polar missingness often depends on the environmental state being estimated.,"Characterize missingness by state and season, use sensitivity bounds or explicit observation models, and avoid unconditional interpolation.",major,cloud gap; polar night; missing scenes; instrument outage,"{""claim_type"": ""missing data"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-016"", ""NP-020"", ""TC-005""], ""verbatim_review_text"": false}"
POLAR-VARI-001,polar-earth-system-orchestrator,variable_identity_comparability,Sea-ice metrics are interchanged,"Sea-ice concentration, area, extent, thickness, volume, age, and duration are discussed as if they measured the same system property.",Different metrics respond to different processes and thresholds and cannot support identical trend or mechanism claims.,"Define every metric and threshold, preserve units and denominators, and align the claim with the measured quantity.",major,sea ice extent; area; concentration; thickness; volume,"{""claim_type"": ""sea-ice metric"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-005"", ""NP-014"", ""TC-002""], ""verbatim_review_text"": false}"
POLAR-VARI-002,polar-earth-system-orchestrator,variable_identity_comparability,Elevation change equated with mass change,"Surface-elevation change is interpreted as ice mass change without separating density, firn compaction, snow variability, floating geometry, or dynamic effects.",Height-to-mass conversion can dominate the inferred signal.,"State the density and firn assumptions, propagate them, distinguish grounded and floating ice, and compare an independent mass estimate.",major,altimetry; elevation change; mass loss,"{""claim_type"": ""ice-mass inference"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""NP-018""], ""verbatim_review_text"": false}"
POLAR-VARI-003,polar-earth-system-orchestrator,variable_identity_comparability,Glacier retreat equated with mass loss,"Terminus position, area loss, calving-front retreat, frontal ablation, thinning, and total mass balance are conflated.",A glacier can retreat without proportional mass loss and vice versa.,"Use precise glacier-change variables, report geometry and mass components separately, and revise causal language.",major,terminus retreat; area change; mass loss; calving,"{""claim_type"": ""glacier change"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-012"", ""NP-016"", ""TC-003"", ""STD-003""], ""verbatim_review_text"": false}"
POLAR-VARI-004,polar-earth-system-orchestrator,variable_identity_comparability,Permafrost indicators are conflated,"Ground temperature, active-layer thickness, permafrost extent, ground-ice loss, thermokarst, subsidence, and carbon release are treated as interchangeable thaw indicators.","Each variable reflects a different process, depth, and response time.","Define the measured state variable, depth and season; avoid translating one indicator into another without a validated model.",major,permafrost warming; thaw; active layer; subsidence,"{""claim_type"": ""permafrost metric"", ""region"": [""arctic"", ""mountain""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-021"", ""NP-022"", ""TC-001""], ""verbatim_review_text"": false}"
POLAR-VARI-005,polar-earth-system-orchestrator,variable_identity_comparability,Surface mass balance and total balance mixed,"Accumulation and surface ablation are combined conceptually with ice discharge, basal melt, or calving when interpreting ice-sheet or glacier mass balance.",Mispartitioning obscures the mechanism and can reverse attribution.,"Report each budget component and sign convention, identify residual terms, and use total mass balance only when all relevant components are included.",major,surface mass balance; discharge; basal melt; total balance,"{""claim_type"": ""mass-balance accounting"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-010"", ""NP-012"", ""TC-006"", ""STD-003"", ""STD-004""], ""verbatim_review_text"": false}"
POLAR-VARI-006,polar-earth-system-orchestrator,variable_identity_comparability,Proxy target changes across calibration,"A proxy is calibrated to one environmental variable but interpreted as another, such as temperature to circulation strength or sediment composition to storminess.",Non-unique proxy controls undermine the reconstructed quantity.,"Specify the mechanistic proxy chain, test competing controls, and calibrate against the claimed target at matching scale.",major,proxy; calibration; reconstruction; interpretation,"{""claim_type"": ""proxy identity"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-001"", ""NP-015"", ""NP-017"", ""NP-023""], ""verbatim_review_text"": false}"
POLAR-VARI-007,polar-earth-system-orchestrator,variable_identity_comparability,Products with different definitions are merged,"Time series from products using different masks, thresholds, sensors, retrieval targets, or version conventions are concatenated without harmonization.",An apparent trend or discontinuity may be a product-definition artifact.,"Document definitions and versions, quantify inter-product offsets, and construct a homogenized record or analyze products separately.",major,multi-product; version; merged record; threshold,"{""claim_type"": ""data harmonization"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-014"", ""NP-016"", ""NP-021""], ""verbatim_review_text"": false}"
POLAR-VARI-008,polar-earth-system-orchestrator,variable_identity_comparability,"Freshwater, meltwater, and runoff are mixed","Ice melt, snowmelt, liquid precipitation, subglacial discharge, runoff, and net freshwater flux are used interchangeably.","The terms have different source regions, timing, routing, and budget implications.","Partition sources and pathways, state the control volume, and use terminology consistent with the measured or modeled flux.",major,freshwater flux; meltwater; runoff; discharge,"{""claim_type"": ""hydrologic variable"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-010"", ""NP-018"", ""TC-005""], ""verbatim_review_text"": false}"
POLAR-POLA-001,polar-earth-system-orchestrator,polar_remote_sensing_products,Retrieval product treated as direct truth,"A satellite retrieval is used as a direct observation without describing algorithm assumptions, flags, known failure modes, or product uncertainty.","The retrieval may be conditional on surface state, atmosphere, snow, roughness, or training data.","Cite the exact product version and algorithm documentation, apply quality flags, and propagate retrieval uncertainty into the main result.",major,satellite product; retrieval; direct observation; quality flag,"{""claim_type"": ""remote sensing"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-011"", ""NP-016"", ""STD-005"", ""STD-006""], ""verbatim_review_text"": false}"
POLAR-POLA-002,polar-earth-system-orchestrator,polar_remote_sensing_products,Melt ponds and wet snow bias sea-ice retrieval,"Summer sea-ice concentration or type is interpreted without testing melt-pond, wet-snow, atmospheric, and thin-ice ambiguity.",Surface-state changes can appear as ice loss or category change.,"Use season-appropriate products, compare independent sensors or algorithms, and bound the effect of surface-state ambiguity.",major,melt pond; wet snow; passive microwave; summer ice,"{""claim_type"": ""sea-ice retrieval"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-014"", ""STD-005""], ""verbatim_review_text"": false}"
POLAR-POLA-003,polar-earth-system-orchestrator,polar_remote_sensing_products,Sensor transition creates artificial trend,"A long record spans missions, processing streams, or orbit changes without an explicit homogeneity assessment.",Instrument and algorithm transitions can generate steps comparable to the climate trend.,"Perform overlap calibration, breakpoint tests, product intercomparison, and sensitivity to transition treatment.",major,sensor transition; mission change; climate data record,"{""claim_type"": ""long-term satellite trend"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-014"", ""NP-016"", ""NP-021"", ""STD-006""], ""verbatim_review_text"": false}"
POLAR-POLA-004,polar-earth-system-orchestrator,polar_remote_sensing_products,Polar gap or coverage mask is ignored,"Orbit geometry, pole holes, cloud screening, darkness, topographic shadow, or coastal masks exclude nonrandom parts of the domain.","Coverage gaps may bias totals, trend maps, and event timing.","Show coverage through time, distinguish observed from infilled cells, and test conclusions under conservative gap treatments.",major,pole hole; cloud mask; polar night; coverage,"{""claim_type"": ""coverage analysis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-016"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-POLA-005,polar-earth-system-orchestrator,polar_remote_sensing_products,Spatial resolution cannot resolve mechanism,"The product grid or radar footprint is too coarse to resolve grounding zones, narrow fjords, leads, small glaciers, thermokarst features, or coastal gradients invoked in the mechanism.",Subpixel mixing and geolocation uncertainty can determine the signal.,"Demonstrate scale compatibility, aggregate the claim to resolvable scales, or add higher-resolution evidence.",major,resolution; subpixel; grounding line; fjord; lead,"{""claim_type"": ""resolution adequacy"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-011"", ""NP-016""], ""verbatim_review_text"": false}"
POLAR-POLA-006,polar-earth-system-orchestrator,polar_remote_sensing_products,Radar interpretation lacks dielectric alternatives,"Radar backscatter, interferometric phase, attenuation, or reflectors are assigned to water, brine, layer geometry, or damage without excluding other dielectric and geometric causes.",The same radar signature can have multiple physical origins.,"Use multi-frequency, temporal, geometric, or in situ constraints and present the interpretation as conditional where alternatives remain.",major,radar; InSAR; reflector; seawater intrusion,"{""claim_type"": ""radar interpretation"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-011"", ""TC-004"", ""TC-007""], ""verbatim_review_text"": false}"
POLAR-POLA-007,polar-earth-system-orchestrator,polar_remote_sensing_products,Validation scale mismatches product scale,Point or transect field measurements are compared directly with large grid cells or temporally averaged products.,Representativeness error can dominate the apparent product bias.,"Upscale field data with a defensible model, sample the grid footprint, and separate measurement from representativeness uncertainty.",major,ground truth; grid cell; footprint; validation,"{""claim_type"": ""product validation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-016"", ""NP-021"", ""STD-002""], ""verbatim_review_text"": false}"
POLAR-POLA-008,polar-earth-system-orchestrator,polar_remote_sensing_products,Algorithm comparison is not independent,"Products compared as independent evidence share sensors, weather filters, ancillary fields, training data, or common retrieval heritage.",Agreement among dependent products overstates confidence.,"Map data lineage, select genuinely independent observations where possible, and qualify ensemble agreement by shared dependencies.",major,product ensemble; independent products; shared input,"{""claim_type"": ""product intercomparison"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-014"", ""NP-016"", ""STD-006""], ""verbatim_review_text"": false}"
POLAR-MASS-001,polar-earth-system-orchestrator,mass_energy_water_budget,Budget does not close,"The central mass, heat, freshwater, carbon, or energy budget omits material terms or leaves an unexplained residual.",A mechanism claim is weak when the accounting cannot reproduce the observed tendency.,"Define the control volume and sign convention, report every term and residual, and propagate uncertainty into closure.",major,budget closure; residual; conservation; control volume,"{""claim_type"": ""budget analysis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""NP-019""], ""verbatim_review_text"": false}"
POLAR-MASS-002,polar-earth-system-orchestrator,mass_energy_water_budget,Grounded and floating ice are mixed,Mass or melt changes on ice shelves and floating tongues are combined with grounded-ice loss when discussing sea-level contribution.,Floating-ice melt has different direct sea-level implications and dynamic pathways.,"Separate grounded and floating domains, state grounding-line masks, and quantify dynamic effects rather than implying direct equivalence.",major,ice shelf; floating tongue; grounded ice; sea level,"{""claim_type"": ""ice accounting"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""NP-018""], ""verbatim_review_text"": false}"
POLAR-MASS-003,polar-earth-system-orchestrator,mass_energy_water_budget,Firn and density assumptions dominate conversion,Volume or height changes are converted to mass with fixed density or insufficient firn treatment.,"Snow accumulation, compaction, meltwater retention, and density variability can create spurious mass trends.","Use a validated firn/density model, show sensitivity and uncertainty, and compare against an independent gravimetric or input-output estimate.",major,firn; density; altimetry; mass conversion,"{""claim_type"": ""height-to-mass conversion"", ""region"": [""antarctic"", ""greenland""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-008"", ""NP-018"", ""TC-006""], ""verbatim_review_text"": false}"
POLAR-MASS-004,polar-earth-system-orchestrator,mass_energy_water_budget,Snow depth uncertainty omitted from sea-ice thickness,"Freeboard-derived thickness is reported without propagating snow depth, snow density, ice density, and hydrostatic assumptions.",Snow uncertainty can dominate sea-ice thickness and volume estimates.,"Report the full uncertainty chain, test alternative snow products, and avoid overprecise volume trends.",major,freeboard; snow depth; sea ice thickness; hydrostatic,"{""claim_type"": ""sea-ice thickness"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-014"", ""STD-006""], ""verbatim_review_text"": false}"
POLAR-MASS-005,polar-earth-system-orchestrator,mass_energy_water_budget,Freshwater routing lacks travel-time treatment,"Melt or subglacial discharge is linked to downstream ocean, ice-shelf, or ecosystem response without resolving storage, routing, mixing, and lag.",Coincident timing does not establish the proposed pathway.,Constrain travel times and pathways with observations or process models and test alternative timing assumptions.,major,subglacial discharge; meltwater routing; lag,"{""claim_type"": ""hydrologic coupling"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-010"", ""NP-019"", ""TC-005""], ""verbatim_review_text"": false}"
POLAR-MASS-006,polar-earth-system-orchestrator,mass_energy_water_budget,Surface energy terms are incompletely constrained,"Melt or freeze is attributed to one flux while radiation, turbulent fluxes, rain heat, ocean heat, albedo, or conductive storage are omitted or weakly observed.",A partial energy budget cannot distinguish mechanisms.,"Close the energy budget at the relevant temporal scale, report flux uncertainty, and test whether the proposed term explains residual variability.",major,surface energy balance; melt; turbulent flux; albedo,"{""claim_type"": ""energy balance"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-MASS-007,polar-earth-system-orchestrator,mass_energy_water_budget,Carbon inventory and flux are confused,"Concentration, inventory, production, oxidation, evasion, and net ecosystem or ocean-atmosphere flux are interpreted interchangeably.",A large pool does not imply a large net emission or uptake.,"Separate stocks and gross/net fluxes, define the integration domain and period, and support source-sink attribution with a closed budget.",major,carbon uptake; methane emission; inventory; flux,"{""claim_type"": ""biogeochemical budget"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-002"", ""NP-019"", ""NP-024""], ""verbatim_review_text"": false}"
POLAR-MASS-008,polar-earth-system-orchestrator,mass_energy_water_budget,Unresolved basal melt parameterization controls result,"Ice-shelf or ice-sheet response is driven by prescribed basal melt without showing sensitivity to calibration, geometry, cavity circulation, or climate forcing.",The headline projection may be a parameterization artifact.,"Report calibration data and parameter ranges, run structural alternatives, and separate robust conclusions from parameterization-dependent outcomes.",major,basal melt; ISMIP6; parameterization; ice shelf,"{""claim_type"": ""model budget"", ""region"": [""antarctic""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""TC-010""], ""verbatim_review_text"": false}"
POLAR-MODE-001,polar-earth-system-orchestrator,model_resolution_assimilation,Grid cannot represent key geometry,"Model resolution is too coarse for grounding zones, shelf channels, narrow straits, fjords, leads, steep terrain, or polygonal permafrost invoked in the explanation.","Unresolved geometry can change transport, stress, melt, and feedback direction.",Demonstrate convergence or use parameterizations validated for the target scale; limit mechanistic claims when the feature is unresolved.,major,grid resolution; geometry; fjord; grounding line; channel,"{""claim_type"": ""numerical model"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-009"", ""NP-010"", ""TC-006""], ""verbatim_review_text"": false}"
POLAR-MODE-002,polar-earth-system-orchestrator,model_resolution_assimilation,Boundary conditions encode the result,"Ocean, atmosphere, basal, geothermal, bed, or ecological boundary conditions are prescribed in a way that already imposes the claimed response.",The simulation may illustrate an assumption rather than independently test a mechanism.,"Identify which conclusions follow from boundary choices, run alternative plausible conditions, and avoid causal language unsupported by sensitivity.",major,boundary condition; forcing; prescribed; scenario,"{""claim_type"": ""model forcing"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-017"", ""NP-020"", ""TC-008""], ""verbatim_review_text"": false}"
POLAR-MODE-003,polar-earth-system-orchestrator,model_resolution_assimilation,Assimilation product used as independent validation,A reanalysis or assimilated product is used both to force or constrain the model and to validate its performance.,Shared observations and model structure make the validation circular.,"Use withheld observations or an independent product, disclose assimilation lineage, and separate fit to constraints from predictive skill.",major,reanalysis; data assimilation; validation; forcing,"{""claim_type"": ""model validation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-003"", ""NP-007"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-MODE-004,polar-earth-system-orchestrator,model_resolution_assimilation,Single model presented as structural certainty,"A result from one model, one configuration, or one parameterization is presented as a robust system response.",Polar projections are often sensitive to unresolved processes and model structure.,"Use a multi-model or structural ensemble, perturb key process choices, and label model-contingent results.",major,single model; structural uncertainty; projection,"{""claim_type"": ""model ensemble"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-005"", ""NP-006""], ""verbatim_review_text"": false}"
POLAR-MODE-005,polar-earth-system-orchestrator,model_resolution_assimilation,Ensemble members are not independent,Initial-condition members or models sharing code and parameterizations are treated as independent samples when estimating probability.,Effective sample size is smaller than the nominal ensemble and tails are poorly constrained.,"Describe ensemble dependence, estimate effective sample size, and avoid precise event probabilities unsupported by the ensemble design.",major,ensemble; probability; independent members; CMIP,"{""claim_type"": ""ensemble inference"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-020"", ""TC-001""], ""verbatim_review_text"": false}"
POLAR-MODE-006,polar-earth-system-orchestrator,model_resolution_assimilation,Tuning and evaluation periods overlap,"Parameters are selected using the same period, event, or site used to claim predictive accuracy or mechanism fidelity.",Overfitting can be severe in short polar records.,"Separate calibration and evaluation by time and region, report pre-specified metrics, and test out-of-sample stability.",major,calibration; tuning; hindcast; validation period,"{""claim_type"": ""model evaluation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-006"", ""NP-009"", ""TC-010""], ""verbatim_review_text"": false}"
POLAR-MODE-007,polar-earth-system-orchestrator,model_resolution_assimilation,Subgrid scheme lacks scale-aware validation,"A subgrid process such as leads, melt ponds, snow redistribution, calving, drainage, or thermokarst is parameterized without validation across the operating range.",A tuned average behavior may fail under changing climate or geometry.,"Validate the scheme against process observations, test extrapolation, and report when the result depends on the closure.",major,subgrid; parameterization; melt pond; calving; drainage,"{""claim_type"": ""process parameterization"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-010"", ""TC-005""], ""verbatim_review_text"": false}"
POLAR-MODE-008,polar-earth-system-orchestrator,model_resolution_assimilation,Scenario spread is mistaken for forecast uncertainty,A selected scenario set or forcing range is presented as the full uncertainty distribution.,"Scenario, internal-variability, parameter, observational, and structural uncertainties are distinct.","Decompose uncertainty sources and state whether results are conditional projections, scenarios, hindcasts, or forecasts.",major,scenario; projection; forecast; uncertainty range,"{""claim_type"": ""projection semantics"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-020"", ""TC-006""], ""verbatim_review_text"": false}"
