source_id,source_class,publisher_or_body,title,doi_or_record,public_url,topics,sha256,size_bytes,page_count,redistributed,inspection
NP-011,public_peer_review_file,Nature Communications,"Rapid retreat of Berry Glacier, West Antarctica linked to seawater intrusions revealed by radar interferometry",10.1038/s41467-025-64330-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-64330-0/MediaObjects/41467_2025_64330_MOESM4_ESM.pdf,InSAR; seawater intrusion; glacier retreat,9c9dca0796da8cbd47b173d454d4afb2b7620971a15350b5e8b5b586c288e463,1075202,55,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-012,public_peer_review_file,Nature Communications,Ocean warming drives immediate mass loss from calving glaciers in the high Arctic,10.1038/s41467-024-54825-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-54825-7/MediaObjects/41467_2024_54825_MOESM2_ESM.pdf,calving glaciers; ocean forcing; representativeness,86010f186171fb15c393c2eb45861271dbb2e37434b4bf18b002db07c2884fb6,890170,34,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-013,public_peer_review_file,Nature Communications,Predicting climate-change impacts on the global glacier-fed stream microbiome,10.1038/s41467-025-56426-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-56426-4/MediaObjects/41467_2025_56426_MOESM3_ESM.pdf,glacier-fed ecosystems; global extrapolation; microbiome,390f5a1334062d774ab3c9de79a7e6416ea483bd060dd098087a679ec824a573,275185,15,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-014,public_peer_review_file,Communications Earth & Environment,Record low Antarctic sea ice coverage indicates a new sea ice state,10.1038/s43247-023-00961-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-023-00961-9/MediaObjects/43247_2023_961_MOESM2_ESM.pdf,sea ice state; trend detection; internal variability,1242ac49b1b57a0e63eac6ef7c5efba29ac379c1bbbca77d72f54a263e936e24,3161850,2,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-015,public_peer_review_file,Nature Communications,Coastal lake sediments from Arctic Svalbard suggest colder summers are stormier,10.1038/s41467-024-53875-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-53875-1/MediaObjects/41467_2024_53875_MOESM2_ESM.pdf,sediment proxy; chronology; storm reconstruction,035e6c325fb8382a9e052e4a8ae10fdc95b9d8d3a0818549576dfe7800d279ca,1094012,57,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-016,public_peer_review_file,Nature Communications,Pervasive glacier retreats across Svalbard from 1985 to 2023,10.1038/s41467-025-55948-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-55948-1/MediaObjects/41467_2025_55948_MOESM2_ESM.pdf,glacier mapping; remote sensing; trend comparison,075efa5715f877c574755c5fad43f7bd365ad5cda8ee95fe9994af04c5c7168f,2285820,31,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-017,public_peer_review_file,Communications Earth & Environment,Last Interglacial subsurface warming on the Antarctic shelf triggered by reduced deep-ocean convection,10.1038/s43247-024-01383-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-024-01383-x/MediaObjects/43247_2024_1383_MOESM1_ESM.pdf,paleoclimate; ocean convection; proxy-model interpretation,4ba842ac3d8ee5da0c115d5dfde668aa60424a6cdcc76f3a04d6b1839ce5f939,2270345,29,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-018,public_peer_review_file,Nature Communications,Atlantic Water warming increases melt below Northeast Greenland’s last floating ice tongue,10.1038/s41467-024-45650-z,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-45650-z/MediaObjects/41467_2024_45650_MOESM2_ESM.pdf,ice tongue; ocean warming; observational-model synthesis,9c90c4a7d8226e13d05337b48396cea0bd82997fa319002219faa2dafcb19c60,1356523,16,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-019,public_peer_review_file,Communications Earth & Environment,Sea ice controls net ocean uptake of carbon dioxide by regulating wintertime stratification,10.1038/s43247-025-02395-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-025-02395-x/MediaObjects/43247_2025_2395_MOESM1_ESM.pdf,sea ice; carbon uptake; winter stratification,3624d87472b9e853afb0c56a516041aa9db30d8bf744a9f8ccaca62c1cfea4bd,147643,15,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-020,public_peer_review_file,Communications Earth & Environment,Rising atmospheric moisture escalates the future impact of atmospheric rivers in the Antarctic climate system,10.1038/s43247-025-02333-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-025-02333-x/MediaObjects/43247_2025_2333_MOESM1_ESM.pdf,atmospheric rivers; Antarctica; projections,1ac51a33ff337092ad5aafa21e1740d34b8102d89de7883e4e2ae3bf28e6fd69,10200473,58,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-021,public_peer_review_file,Nature Communications,Enhanced warming of European mountain permafrost in the early 21st century,10.1038/s41467-024-54831-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-54831-9/MediaObjects/41467_2024_54831_MOESM4_ESM.pdf,permafrost temperature; monitoring; trend robustness,f5e32e4aacabcc4e2534ee6be61e4d39d7d432f9d4f9253be3ca6b65c22bf06f,839524,27,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-022,public_peer_review_file,Nature Communications,Permafrost is warming at a global scale,10.1038/s41467-018-08240-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-08240-4/MediaObjects/41467_2018_8240_MOESM1_ESM.pdf,permafrost synthesis; global scale; observation network,48c8eca3eb5aefcf977510acc1b8383d2ff529339cde1a9c504c4bd6ac817417,483900,47,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-023,public_peer_review_file,Nature,Five million years of Antarctic Circumpolar Current strength variability,10.1038/s41586-024-07143-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-07143-3/MediaObjects/41586_2024_7143_MOESM1_ESM.pdf,ACC proxy; long-term variability; age model,316aa2f9599356bded69a03209b1ab140e54e6f205e454dec275477f1c88e0c0,1442283,62,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-024,public_peer_review_file,Nature Climate Change,A fixed methane filter maximizes freshwater emissions under warming,10.1038/s41558-026-02649-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41558-026-02649-2/MediaObjects/41558_2026_2649_MOESM3_ESM.pdf,freshwater methane; warming; biogeochemical mechanism,b947ed96997c1286c2a83035e1f87a67d94b22a46f28e3a5072fb11b849dd065,470266,5,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-001,public_peer_review_file,The Cryosphere Discussions,Evaluating permafrost physics in the CMIP6 models and their sensitivity to climate change,tc-2019-309,https://tc.copernicus.org/preprints/tc-2019-309/tc-2019-309-RC1.pdf,permafrost models; CMIP6; process sensitivity,a34a59c444c145242001797d4af8786371c498c2550c054ceb93cf954010e157,43980,1,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-002,public_peer_review_file,The Cryosphere Discussions,Rapid decline of Arctic sea ice volume: causes and consequences,tc-2019-2,https://tc.copernicus.org/preprints/tc-2019-2/tc-2019-2-RC1.pdf,sea ice volume; causal interpretation; uncertainty,a3d6492818c7495ba9d80cb309384a0de9dc714447fc86d2b3b70e5c90e0f643,42589,1,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-003,public_peer_review_file,The Cryosphere Discussions,"Calving cycle of the Brunt Ice Shelf, Antarctica, driven by changes in ice-shelf geometry",tc-2019-46,https://tc.copernicus.org/preprints/tc-2019-46/tc-2019-46-RC1.pdf,ice-shelf calving; geometry; process evidence,04d8d501d003db99f441971ff91904d284db04255316dd571055e14627a44c07,43255,1,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-004,public_peer_review_file,The Cryosphere Discussions,"Radio-echo sounding measurements and ice-core synchronization at Dome C, Antarctica",tc-2016-147,https://tc.copernicus.org/preprints/tc-2016-147/tc-2016-147-RC1.pdf,radar stratigraphy; ice-core synchronization; chronology,ddc0e58ddd52a9d70a280bce769d3464d12fbcc6f8f8afde5b1ef341682a9d63,43461,1,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-005,public_peer_review_file,The Cryosphere Discussions,Lateral meltwater transfer across an Antarctic ice shelf,tc-2019-316,https://tc.copernicus.org/preprints/tc-2019-316/tc-2019-316-RC1.pdf,surface hydrology; ice shelf; spatial transfer,31411afc54e4802241e5cea3836b1ae308fba927e79fddd0641f0c5d27bf4617,47058,2,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-006,public_peer_review_file,The Cryosphere Discussions,Diverging future surface mass balance between the Antarctic ice shelves and grounded ice sheet,tc-2020-291,https://tc.copernicus.org/preprints/tc-2020-291/tc-2020-291-RC1.pdf,surface mass balance; projections; model resolution,97b476cb612d4c08fe08430d42ef63718265660a8660a929127eff99a29728fb,52177,3,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-007,public_peer_review_file,The Cryosphere Discussions,Widespread potential for seawater infiltration on Antarctic ice shelves,tc-2018-146,https://tc.copernicus.org/preprints/tc-2018-146/tc-2018-146-RC1.pdf,seawater infiltration; radar; spatial inference,bf334a928450ec47ab3acd5e042776d304de0dde395a1373e7159aa36b42b4c8,53179,3,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-008,public_peer_review_file,The Cryosphere Discussions,Glacial cycles simulation of the Antarctic Ice Sheet with PISM - Part 1: boundary conditions and climate forcing,tc-2019-71,https://tc.copernicus.org/preprints/tc-2019-71/tc-2019-71-RC1.pdf,ice-sheet model; boundary conditions; forcing,acd8900bdeb63f95eddca8519c81061e2c34136809bc4decfa606853a405469b,57246,4,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-009,public_peer_review_file,The Cryosphere Discussions,Archival processes of the water stable isotope signal in East Antarctic ice cores,tc-2017-243,https://tc.copernicus.org/preprints/tc-2017-243/tc-2017-243-RC1.pdf,ice-core isotope proxy; post-depositional processes,9fa7b0c945bf71039adcfb454cc16804f8cbee4349f0c475c0e9bceb7f2625b7,43253,1,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
TC-010,public_peer_review_file,The Cryosphere Discussions,A protocol for calculating basal melt rates in the ISMIP6 Antarctic ice sheet projections,tc-2019-277,https://tc.copernicus.org/preprints/tc-2019-277/tc-2019-277-RC1.pdf,basal melt parameterization; protocol; model comparability,fffe31d2e61960d59ac25db313c0b61f4da3714fcf35375cea90cefe68aa6a7a,56260,4,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
STD-001,official_standard_or_policy,The Cryosphere,Interactive peer-review process,journal policy,https://www.the-cryosphere.net/peer_review/interactive_review_process.html,open review process; corpus provenance,,,,false,official source consulted; not redistributed
STD-002,official_standard_or_policy,WMO Global Cryosphere Watch,Best Practices and Methods,official guidance,https://globalcryospherewatch.org/best-practices-and-methods/,measurement standards; interoperability; quality,,,,false,official source consulted; not redistributed
STD-003,official_standard_or_policy,World Glacier Monitoring Service,Glossary of Glacier Mass Balance and Related Terms,official glossary,https://wgms.ch/downloads/Cogley_etal_2011.pdf,glacier variable definitions; terminology,,,,false,official source consulted; not redistributed
STD-004,official_standard_or_policy,World Glacier Monitoring Service,Data guidelines and uncertainty resources,official guidance,https://wgms.ch/data_guidelines/,mass-balance reporting; uncertainty,,,,false,official source consulted; not redistributed
STD-005,official_standard_or_policy,NSIDC,Sea Ice Index Version 3 User Guide,product user guide,https://nsidc.org/sites/default/files/g02135-v003-userguide_1_1.pdf,sea ice product uncertainty; daily-monthly use,,,,false,official source consulted; not redistributed
STD-006,official_standard_or_policy,ESA Climate Change Initiative,Sea Ice Essential Climate Variable project,product programme,https://climate.esa.int/en/projects/sea-ice/,sea ice concentration; thickness; climate data records,,,,false,official source consulted; not redistributed
STD-007,official_standard_or_policy,IASC / ICARP IV,Research Priority Team 5: Co-Production and Indigenous-led methodologies,research-priority guidance,https://icarp.iasc.info/engagement/research-priority-teams?catid=14&id=62&view=article,co-production; Indigenous-led research; Arctic responsibility,,,,false,official source consulted; not redistributed
STD-008,official_standard_or_policy,Antarctic Treaty Secretariat,Protocol on Environmental Protection - Annex V,treaty instrument,https://documents.ats.aq/keydocs/vol_1/vol1_9_AT_Protocol_Annex_V_e.pdf,protected areas; permits; environmental responsibility,,,,false,official source consulted; not redistributed
