id,journal,title,doi,article_id,publication_date,article_type,collection_round,relevance_level,topic_tags,article_url,peer_review_file_url,local_pdf,pages,file_size_bytes,sha256,download_status,source_basis,include_in_main_reviewer_memory,raw_pdf_in_skill_release
11,Nature Communications,Reduced aerosol pollution diminished cloud reflectivity over the North Atlantic and Northeast Pacific,10.1038/s41467-025-65127-x,s41467-025-65127-x,2025-10-03,Article,round1_nature_nc,high_core,aerosol-cloud interaction; cloud reflectivity; radiative effects,https://www.nature.com/articles/s41467-025-65127-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-65127-x/MediaObjects/41467_2025_65127_MOESM2_ESM.pdf,pdfs/round1_nature_nc/011_NatCommun_s41467-025-65127-x_peer_review_file.pdf,6,279865,59fb8c1ab8777b0e4d049241dc06c56f0290ec07e252a29446c57d171f043269,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
12,Nature Communications,Evidence for preferred propagating terrestrial heatwave pathways due to Rossby wave activity,10.1038/s41467-025-60104-w,s41467-025-60104-w,2025-05-09,Article,round1_nature_nc,high_core,heatwaves; Rossby wave activity; teleconnection,https://www.nature.com/articles/s41467-025-60104-w,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-60104-w/MediaObjects/41467_2025_60104_MOESM7_ESM.pdf,pdfs/round1_nature_nc/012_NatCommun_s41467-025-60104-w_peer_review_file.pdf,51,5315881,cbcc635fe2ebd2379fed2ba0896ad68299915bca2a49dea4301cc066c089eb04,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
13,Nature Communications,Global increase in rain rate of tropical cyclones prior to landfall,10.1038/s41467-025-68070-z,s41467-025-68070-z,2025-12-08,Article,round1_nature_nc,high_core,tropical cyclone; rain rate; satellite precipitation,https://www.nature.com/articles/s41467-025-68070-z,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-68070-z/MediaObjects/41467_2025_68070_MOESM2_ESM.pdf,pdfs/round1_nature_nc/013_NatCommun_s41467-025-68070-z_peer_review_file.pdf,28,1949040,9c1eaac64bfbf581156b85f2f610c97a312168635445dedfbe04db8ca959b30c,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
14,Nature Communications,"Future changes in severe hail across Europe, including regional emergence of warm-type thunderstorms",10.1038/s41467-025-62780-0,s41467-025-62780-0,2025-07-14,Article,round1_nature_nc,high_core,severe hail; convection; thunderstorms; climate projections,https://www.nature.com/articles/s41467-025-62780-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-62780-0/MediaObjects/41467_2025_62780_MOESM2_ESM.pdf,pdfs/round1_nature_nc/014_NatCommun_s41467-025-62780-0_peer_review_file.pdf,28,2000861,4fb44699217294600b88ee204f2d13f223dd7b4a9d19cecef2aa0d83b4284fd4,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
15,Nature Communications,Causal pathways underlying global soil moisture–precipitation coupling,10.1038/s41467-025-63999-7,s41467-025-63999-7,2025-08-27,Article,round1_nature_nc,medium_high_related,land-atmosphere feedback; causality; precipitation coupling,https://www.nature.com/articles/s41467-025-63999-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-63999-7/MediaObjects/41467_2025_63999_MOESM3_ESM.pdf,pdfs/round1_nature_nc/015_NatCommun_s41467-025-63999-7_peer_review_file.pdf,60,4551134,8493f603d6a3788c9c1dfeef40b805179766c7aa71dba9e52ee6be39569292c1,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
16,Nature Communications,Unraveling overestimated exposure risks through hourly ozone retrievals from next-generation geostationary satellites,10.1038/s41467-025-58652-2,s41467-025-58652-2,2025-04-04,Article,round1_nature_nc,medium_high_related,ozone retrieval; atmospheric remote sensing; exposure inference,https://www.nature.com/articles/s41467-025-58652-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-58652-2/MediaObjects/41467_2025_58652_MOESM2_ESM.pdf,pdfs/round1_nature_nc/016_NatCommun_s41467-025-58652-2_peer_review_file.pdf,86,11053971,a746957a87ee0c015445789185fc9630b47ba81e9f245abe6a0cf1e620a0d34f,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
17,Nature Communications,Contrary effects of soil moisture-atmosphere feedback on dry and humid heatwaves,10.1038/s41467-026-70210-y,s41467-026-70210-y,2026-04-22,Article,round1_nature_nc,high_core,heatwaves; soil moisture feedback; land-atmosphere coupling,https://www.nature.com/articles/s41467-026-70210-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-70210-y/MediaObjects/41467_2026_70210_MOESM2_ESM.pdf,pdfs/round1_nature_nc/017_NatCommun_s41467-026-70210-y_peer_review_file.pdf,55,9297736,63331b4b191dce29472b619c1e78e0e3a11cfeda307df5e4cb0384d4a41a6dde,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
18,Nature Communications,Snow or rain? hybrid AI deciphers surface precipitation phase from satellite observations,10.1038/s41467-026-69487-w,s41467-026-69487-w,2026-03-27,Article,round1_nature_nc,high_core,precipitation phase; hybrid AI; satellite retrieval,https://www.nature.com/articles/s41467-026-69487-w,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-69487-w/MediaObjects/41467_2026_69487_MOESM2_ESM.pdf,pdfs/round1_nature_nc/018_NatCommun_s41467-026-69487-w_peer_review_file.pdf,43,1592517,d4b3d30cbf0b11892c5675c2e678d17727677afd51bf1b8a1ee59ddfb25616be,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
19,Nature Communications,Challenges in global climate models to represent cloud response to aerosols: insights from volcanic eruptions,10.1038/s41467-025-67359-3,s41467-025-67359-3,2025-11-21,Article,round1_nature_nc,high_core,aerosol-cloud interaction; volcanic forcing; model evaluation,https://www.nature.com/articles/s41467-025-67359-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-67359-3/MediaObjects/41467_2025_67359_MOESM2_ESM.pdf,pdfs/round1_nature_nc/019_NatCommun_s41467-025-67359-3_peer_review_file.pdf,41,3546078,90d3e8379a281a96a4275bdc33efab5564cfab1b9a23dbdd34ebabf49a626ce8,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
20,Nature Geoscience,Contrasting drivers of South Asian summer and winter monsoon evolution during the last deglaciation,10.1038/s41561-026-02023-z,s41561-026-02023-z,2026-06-22,Article,round2_ngeo_nclimate,high_core,monsoon; paleoclimate; proxy chronology; circulation drivers,https://www.nature.com/articles/s41561-026-02023-z,https://static-content.springer.com/esm/art%3A10.1038%2Fs41561-026-02023-z/MediaObjects/41561_2026_2023_MOESM2_ESM.pdf,pdfs/round2_ngeo_nclimate/020_NatGeosci_s41561-026-02023-z_peer_review_file.pdf,23,1337230,c80a17a042d08dce7c3dbe4c320dda63fcb3b2ff34cb0391afbfa4401723c1ad,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
21,Nature Climate Change,Global heat stress intensification and its expanding footprint on the human population,10.1038/s41558-026-02670-5,s41558-026-02670-5,2026-06-22,Article,round2_ngeo_nclimate,medium_high_related,heat stress; heat extremes; exposure metric,https://www.nature.com/articles/s41558-026-02670-5,https://static-content.springer.com/esm/art%3A10.1038%2Fs41558-026-02670-5/MediaObjects/41558_2026_2670_MOESM2_ESM.pdf,pdfs/round2_ngeo_nclimate/021_NatClimChange_s41558-026-02670-5_peer_review_file.pdf,18,424283,82dc6c9e16e27debe1ce4b726cf5ee0612ce26da5642b7b192d07a2caeab019d,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
22,Nature Climate Change,High-latitude Southern Ocean warming hotspot induced by ocean mesoscale eddies,10.1038/s41558-026-02652-7,s41558-026-02652-7,2026-06-22,Article,round2_ngeo_nclimate,medium_high_related,ocean-atmosphere climate dynamics; eddies; warming attribution,https://www.nature.com/articles/s41558-026-02652-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41558-026-02652-7/MediaObjects/41558_2026_2652_MOESM1_ESM.pdf,pdfs/round2_ngeo_nclimate/022_NatClimChange_s41558-026-02652-7_peer_review_file.pdf,39,3086631,d208ba8a4c71f3a734b3d040c7a0b4ad8c5d4031e58f39bd99b2f37edb9f157f,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
23,Nature,A foundation model for the Earth system,10.1038/s41586-025-09005-y,s41586-025-09005-y,2025-05-21,Article,round1_nature_nc,high_core,AI weather; Earth-system foundation model; forecast benchmark,https://www.nature.com/articles/s41586-025-09005-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09005-y/MediaObjects/41586_2025_9005_MOESM2_ESM.pdf,pdfs/round1_nature_nc/023_Nature_s41586-025-09005-y_peer_review_file.pdf,9,63110,2018a6ff3e602cd7cf1a55ff20e9d2f1d07774709e15dce961e1e63621bb00f4,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
24,Nature,Decadal changes in atmospheric circulation detected in cloud motion vectors,10.1038/s41586-025-09242-1,s41586-025-09242-1,2025-07-09,Article,round1_nature_nc,high_core,atmospheric circulation trend; cloud-motion vectors; reanalysis comparison,https://www.nature.com/articles/s41586-025-09242-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09242-1/MediaObjects/41586_2025_9242_MOESM1_ESM.pdf,pdfs/round1_nature_nc/024_Nature_s41586-025-09242-1_peer_review_file.pdf,19,610679,e7585e13956ff2c84b8fcb3c33f4e33c772d7684af1b87decbe628b3e7cfae86,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
25,Nature,The global hydrogen budget,10.1038/s41586-025-09806-1,s41586-025-09806-1,2025-12-17,Article,round1_nature_nc,medium_high_related,atmospheric chemistry; global budget; indirect climate forcing,https://www.nature.com/articles/s41586-025-09806-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09806-1/MediaObjects/41586_2025_9806_MOESM2_ESM.pdf,pdfs/round1_nature_nc/025_Nature_s41586-025-09806-1_peer_review_file.pdf,56,1178061,a330a82c925ae92efa8161778720988ebb45a9b6968f2fe817bb0f8b5846969f,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
26,Nature Communications,Direct observations of airflow separation over ocean surface waves,10.1038/s41467-025-61133-1,s41467-025-61133-1,2025-07-01,Article,round1_nature_nc,medium_high_related,boundary layer; air-sea interaction; airflow separation,https://www.nature.com/articles/s41467-025-61133-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-61133-1/MediaObjects/41467_2025_61133_MOESM2_ESM.pdf,pdfs/round1_nature_nc/026_NatCommun_s41467-025-61133-1_peer_review_file.pdf,20,4501137,2994b02553dddb5e48d178dff61974d36c3f4424574aeba20b0b111b1f0bba7d,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
27,Nature Communications,Shifting winter atmospheric teleconnections to the North Pacific reconcile Younger-Dryas and Holocene δ18O signals,10.1038/s41467-026-68841-2,s41467-026-68841-2,2026-02-06,Article,round1_nature_nc,medium_high_related,teleconnections; paleoclimate; isotope proxy; atmospheric circulation,https://www.nature.com/articles/s41467-026-68841-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-68841-2/MediaObjects/41467_2026_68841_MOESM2_ESM.pdf,pdfs/round1_nature_nc/027_NatCommun_s41467-026-68841-2_peer_review_file.pdf,35,952301,77f76f7941cf405284e4f59aca4baac456e58371dcdf611ef090b814fe17802c,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
28,Nature Communications,Process-evaluation of forest aerosol-cloud-climate feedback shows clear evidence from observations and large uncertainty in models,10.1038/s41467-024-45001-y,s41467-024-45001-y,2024-01-17,Article,round1_nature_nc,high_core,aerosol-cloud-climate feedback; model process evaluation,https://www.nature.com/articles/s41467-024-45001-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-45001-y/MediaObjects/41467_2024_45001_MOESM2_ESM.pdf,pdfs/round1_nature_nc/028_NatCommun_s41467-024-45001-y_peer_review_file.pdf,42,14148842,df49433dfa52645ab187c0ee67ff7803691677c9496e5fc072d3bc61745df695,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
29,Nature Communications,Thermodynamically inconsistent extreme precipitation sensitivities across continents driven by cloud-radiative effects,10.1038/s41467-024-55143-8,s41467-024-55143-8,2024-12-09,Article,round1_nature_nc,high_core,extreme precipitation; cloud-radiative effects; thermodynamic scaling,https://www.nature.com/articles/s41467-024-55143-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-55143-8/MediaObjects/41467_2024_55143_MOESM2_ESM.pdf,pdfs/round1_nature_nc/029_NatCommun_s41467-024-55143-8_peer_review_file.pdf,36,9778047,87baddf34759900403c8d34fbd7d90338d0c08d51d626b2fb656b184d97e3f6d,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
30,Nature Communications,Heatwave attribution based on reliable operational weather forecasts,10.1038/s41467-024-48280-7,s41467-024-48280-7,2024-05-28,Article,round1_nature_nc,high_core,heatwave attribution; operational forecast; counterfactual weather,https://www.nature.com/articles/s41467-024-48280-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-48280-7/MediaObjects/41467_2024_48280_MOESM2_ESM.pdf,pdfs/round1_nature_nc/030_NatCommun_s41467-024-48280-7_peer_review_file.pdf,11,601517,2cf523ba8efbf711e220307283c4772cd5a60943bcec903502c661a516801c26,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
31,Nature Communications,Global expansion of tropical cyclone precipitation footprint,10.1038/s41467-024-49115-1,s41467-024-49115-1,2024-06-06,Article,round1_nature_nc,high_core,tropical cyclone precipitation; metric definition; satellite data,https://www.nature.com/articles/s41467-024-49115-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-49115-1/MediaObjects/41467_2024_49115_MOESM2_ESM.pdf,pdfs/round1_nature_nc/031_NatCommun_s41467-024-49115-1_peer_review_file.pdf,19,1242125,2334f993e03277b61393fcca30d077ee3c8e001651a886409fb285ab7b34b171,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
32,Nature Communications,Anthropogenic aerosols mask increases in US rainfall by greenhouse gases,10.1038/s41467-024-45504-8,s41467-024-45504-8,2024-02-22,Article,round1_nature_nc,high_core,aerosol forcing; precipitation attribution; regional climate signal,https://www.nature.com/articles/s41467-024-45504-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-45504-8/MediaObjects/41467_2024_45504_MOESM2_ESM.pdf,pdfs/round1_nature_nc/032_NatCommun_s41467-024-45504-8_peer_review_file.pdf,15,630850,fad183b3107e218c04d1ecb79d482488d1bde4b116bcbb8e5deab8abfb7c9763,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
33,Nature Communications,Pitfalls in diagnosing temperature extremes,10.1038/s41467-024-46349-x,s41467-024-46349-x,2024-03-04,Article,round1_nature_nc,high_core,temperature extremes; diagnostic metrics; extreme event definition,https://www.nature.com/articles/s41467-024-46349-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-46349-x/MediaObjects/41467_2024_46349_MOESM2_ESM.pdf,pdfs/round1_nature_nc/033_NatCommun_s41467-024-46349-x_peer_review_file.pdf,12,1483945,51048efbe476940886bd5112bcd7c1aad7a12690b6ac488c45cb88c8460638ee,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
34,Nature Communications,Surface albedo regulates aerosol direct climate effect,10.1038/s41467-024-52255-z,s41467-024-52255-z,2024-10-29,Article,round1_nature_nc,high_core,aerosol direct climate effect; surface albedo; radiative forcing,https://www.nature.com/articles/s41467-024-52255-z,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-52255-z/MediaObjects/41467_2024_52255_MOESM2_ESM.pdf,pdfs/round1_nature_nc/034_NatCommun_s41467-024-52255-z_peer_review_file.pdf,40,2713565,1bd67494b5f3dbc9df952a7dca8ea27812c0e29757bc3b19da23b05e926f7a05,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
35,Nature Communications,Why East Asian monsoon anomalies are more robust in post El Niño than in post La Niña summers,10.1038/s41467-024-51885-7,s41467-024-51885-7,2024-08-27,Article,round1_nature_nc,high_core,East Asian monsoon; ENSO asymmetry; atmospheric teleconnection,https://www.nature.com/articles/s41467-024-51885-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-51885-7/MediaObjects/41467_2024_51885_MOESM2_ESM.pdf,pdfs/round1_nature_nc/035_NatCommun_s41467-024-51885-7_peer_review_file.pdf,23,1509860,8b58252a3f62903049fb82f90040436ba7759226f5eed2702949db4852969b9a,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
