pattern_id,gate_id,gate_name,pattern_type,severity_default,reviewer_concern,common_triggers,common_issue_labels,subfield_signals,evidence_expected,claim_language_risk,source_unit_count,source_article_count,source_journals,source_doi_examples,copyright_note
CECO-P0011,generalist_clarity_gate,Generalist readability and conceptual clarity gate,abstracted_reviewer_concern,should_fix,"Figures and tables should identify what each point, line, interval, and unit represents, especially for composite ecological or climate metrics.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description; presentation; terminology,clarity/presentation; figure/table clarity; generalist/clarity; definition/scope; sampling/representativeness; uncertainty,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil; ocean; conservation,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,890,60,Nature:652; Nature Communications:148; Nature Ecology & Evolution:90,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0012,generalist_clarity_gate,Generalist readability and conceptual clarity gate,issue_cluster,should_fix,"For Generalist readability and conceptual clarity gate, reviewers repeatedly flag clarity/presentation when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description,clarity/presentation,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,328,49,Nature:233; Nature Communications:59; Nature Ecology & Evolution:36,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-67125-5; 10.1038/s41467-025-67676-7,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0013,generalist_clarity_gate,Generalist readability and conceptual clarity gate,issue_cluster,should_fix,"For Generalist readability and conceptual clarity gate, reviewers repeatedly flag figure/table clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description,figure/table clarity,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,196,48,Nature:149; Nature Communications:26; Nature Ecology & Evolution:21,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0014,generalist_clarity_gate,Generalist readability and conceptual clarity gate,issue_cluster,should_fix,"For Generalist readability and conceptual clarity gate, reviewers repeatedly flag generalist/clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description,generalist/clarity,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,103,38,Nature:76; Nature Communications:18; Nature Ecology & Evolution:9,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-68187-1; 10.1038/s41559-025-02746-z,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0015,generalist_clarity_gate,Generalist readability and conceptual clarity gate,issue_cluster,should_fix,"For Generalist readability and conceptual clarity gate, reviewers repeatedly flag definition/scope when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description,definition/scope,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,69,30,Nature:57; Nature Communications:6; Nature Ecology & Evolution:6,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41559-025-02966-3; 10.1038/s41559-026-03095-1; 10.1038/s41586-024-07083-y; 10.1038/s41586-024-07257-8,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0016,generalist_clarity_gate,Generalist readability and conceptual clarity gate,issue_cluster,should_fix,"For Generalist readability and conceptual clarity gate, reviewers repeatedly flag sampling/representativeness when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description,sampling/representativeness,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,61,29,Nature:44; Nature Communications:12; Nature Ecology & Evolution:5,10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02911-4; 10.1038/s41559-026-03025-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0017,sampling_representativeness_gate,Sampling design and representativeness gate,abstracted_reviewer_concern,major,"Sampling design must justify whether plots, transects, sites, seasons, and years support the generalization claimed in the manuscript.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution; season; field,sampling/representativeness; uncertainty; figure/table clarity; causal overclaim; assumption/parameterization; novelty/significance,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon; ocean; nitrogen,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",690,54,Nature:452; Nature Communications:137; Nature Ecology & Evolution:101,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0018,sampling_representativeness_gate,Sampling design and representativeness gate,abstracted_reviewer_concern,major,"Field measurements that vary strongly in space or season require enough temporal and spatial replication, or a narrower claim scope.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution; season; field,sampling/representativeness; uncertainty; figure/table clarity; causal overclaim; assumption/parameterization; novelty/significance,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon; ocean; nitrogen,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",690,54,Nature:452; Nature Communications:137; Nature Ecology & Evolution:101,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0019,sampling_representativeness_gate,Sampling design and representativeness gate,abstracted_reviewer_concern,major,"Cross-site comparisons should account for site history, climate, land-use context, and non-independence among samples.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution; season; field,sampling/representativeness; uncertainty; figure/table clarity; causal overclaim; assumption/parameterization; novelty/significance,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon; ocean; nitrogen,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",690,54,Nature:452; Nature Communications:137; Nature Ecology & Evolution:101,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0020,sampling_representativeness_gate,Sampling design and representativeness gate,issue_cluster,major,"For Sampling design and representativeness gate, reviewers repeatedly flag sampling/representativeness when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution,sampling/representativeness,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",509,51,Nature:311; Nature Communications:115; Nature Ecology & Evolution:83,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67125-5,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0021,sampling_representativeness_gate,Sampling design and representativeness gate,issue_cluster,major,"For Sampling design and representativeness gate, reviewers repeatedly flag uncertainty when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution,uncertainty,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",106,31,Nature:91; Nature Ecology & Evolution:8; Nature Communications:7,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0; 10.1038/s41559-025-02911-4; 10.1038/s41559-025-02966-3; 10.1038/s41586-024-07083-y,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0022,sampling_representativeness_gate,Sampling design and representativeness gate,issue_cluster,should_fix,"For Sampling design and representativeness gate, reviewers repeatedly flag figure/table clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution,figure/table clarity,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",18,14,Nature:8; Nature Communications:6; Nature Ecology & Evolution:4,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41559-025-02911-4; 10.1038/s41559-025-02966-3; 10.1038/s41559-026-03095-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0023,sampling_representativeness_gate,Sampling design and representativeness gate,issue_cluster,major,"For Sampling design and representativeness gate, reviewers repeatedly flag causal overclaim when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution,causal overclaim,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",16,11,Nature:12; Nature Communications:3; Nature Ecology & Evolution:1,10.1038/s41467-025-63246-z; 10.1038/s41559-025-02911-4; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-08106-4; 10.1038/s41586-025-08665-0; 10.1038/s41586-025-09806-1; 10.1038/s41586-026-10455-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0024,sampling_representativeness_gate,Sampling design and representativeness gate,issue_cluster,major,"For Sampling design and representativeness gate, reviewers repeatedly flag assumption/parameterization when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",site; sample; scale; spatial; sampling; bias; plot; temporal; random; resolution,assumption/parameterization,biodiversity; forest; warming; species; climate; ecosystem; soil; carbon,sampling frame; spatial/temporal replication; seasonal coverage; independence; representativeness limits,"claiming broad representativeness from limited plots, seasons, or sites",11,10,Nature:8; Nature Ecology & Evolution:2; Nature Communications:1,10.1038/s41467-024-46263-2; 10.1038/s41559-025-02746-z; 10.1038/s41559-025-02966-3; 10.1038/s41586-024-07264-9; 10.1038/s41586-024-07629-0; 10.1038/s41586-024-07878-z; 10.1038/s41586-024-08191-5; 10.1038/s41586-024-08313-z,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0025,climate_trend_attribution_gate,Climate trend and attribution gate,abstracted_reviewer_concern,major,"Trend or climate-impact claims require temporal consistency, explicit baselines, and tests that separate climate drivers from geography, land use, sampling design, and observation-system change.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought; time series; drivers,climate/trend/attribution; causal overclaim; sampling/representativeness; figure/table clarity; uncertainty; novelty/significance,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil; nitrogen; tundra,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,593,53,Nature:502; Nature Communications:68; Nature Ecology & Evolution:23,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0026,climate_trend_attribution_gate,Climate trend and attribution gate,abstracted_reviewer_concern,major,"Attribution language should be calibrated to the evidence: observational associations, model experiments, and counterfactual analyses support different strengths of claim.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought; time series; drivers,climate/trend/attribution; causal overclaim; sampling/representativeness; figure/table clarity; uncertainty; novelty/significance,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil; nitrogen; tundra,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,593,53,Nature:502; Nature Communications:68; Nature Ecology & Evolution:23,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0027,climate_trend_attribution_gate,Climate trend and attribution gate,abstracted_reviewer_concern,major,"Climate velocity, warming, drought, wildfire, or extreme-event conclusions need sensitivity to baseline period, scenario choice, spatial aggregation, and uncertainty propagation.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought; time series; drivers,climate/trend/attribution; causal overclaim; sampling/representativeness; figure/table clarity; uncertainty; novelty/significance,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil; nitrogen; tundra,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,593,53,Nature:502; Nature Communications:68; Nature Ecology & Evolution:23,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0028,climate_trend_attribution_gate,Climate trend and attribution gate,issue_cluster,major,"For Climate trend and attribution gate, reviewers repeatedly flag climate/trend/attribution when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought,climate/trend/attribution,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,182,40,Nature:146; Nature Communications:29; Nature Ecology & Evolution:7,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-68187-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0029,climate_trend_attribution_gate,Climate trend and attribution gate,issue_cluster,major,"For Climate trend and attribution gate, reviewers repeatedly flag causal overclaim when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",temperature; extreme; warming; climate change; precipitation; trend; correlation; scenario; attribution; drought,causal overclaim,climate; warming; carbon; species; forest; ecosystem; biodiversity; soil,baseline definition; temporal consistency; driver separation; sensitivity to aggregation; uncertainty propagation; conservative attribution wording,overstating climate causality from observational trends or short baselines,102,28,Nature:85; Nature Communications:10; Nature Ecology & Evolution:7,10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41559-025-02664-0; 10.1038/s41559-025-02746-z; 10.1038/s41559-025-02966-3; 10.1038/s41559-026-03025-1,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
