pattern_id,gate,pattern_name,claim_type,evidence_risk,reviewer_concern,revision_direction,default_severity,domain_scope,frequency_proxy_units,supporting_unit_hashes,verbatim_text_included
CHEM-PAT-011,reaction_scope_and_selectivity,Selectivity origin is asserted rather than tested,"Regio-, chemo-, stereo-, or enantioselectivity is explained by a proposed structural or mechanistic feature.",The proposed origin can be plausible but unproven.,The proposed origin can be plausible but unproven.,"Ask for competition experiments, matched substrate pairs, kinetic probes, isotopic tests, or computational selectivity models.",major,general chemistry manuscripts,18,8539b2b7a1751491;23d24489c8ee9c4f;af2eb903fde67a9e;6944835eb9cdc542;b9812862c28cfadd;c5ad76a052b9f8b7,no
CHEM-PAT-012,reaction_scope_and_selectivity,Yields are reported without comparability context,"Reaction performance is discussed without consistent conversion, isolated yield, selectivity, mass balance, or scale information.",Readers cannot assess practical utility or compare with existing methods.,Readers cannot assess practical utility or compare with existing methods.,"Require harmonized reporting of conversion, isolated yield, selectivity, side products, scale, and purification losses.",major,general chemistry manuscripts,18,8539b2b7a1751491;23d24489c8ee9c4f;af2eb903fde67a9e;6944835eb9cdc542;b9812862c28cfadd;c5ad76a052b9f8b7,no
CHEM-PAT-013,synthesis_characterization_and_analytical_evidence,Identity evidence is insufficient for a key compound,"A central molecule, intermediate, catalyst, polymer, framework, or labelled product lacks orthogonal characterization.",Misassignment or impurity can compromise the core conclusion.,Misassignment or impurity can compromise the core conclusion.,"Request appropriate NMR, HRMS, elemental analysis, crystallography, chromatography, spectroscopy, or purity evidence.",major,general chemistry manuscripts,13,1560e4fecf68354d;d1a1a62903ccdd84;e1796b25b66e232c;e240700fafc9dae6;7a1877c5475844f5;816c42e25fd40005,no
CHEM-PAT-014,synthesis_characterization_and_analytical_evidence,Purity and batch variability are not controlled,Chemical performance depends on synthesized materials or molecular samples with limited batch documentation.,"Impurities, morphology, counterions, residual metal, or solvent can drive apparent effects.","Impurities, morphology, counterions, residual metal, or solvent can drive apparent effects.","Require batch-to-batch data, purity metrics, impurity screens, and synthetic reproducibility evidence.",major,general chemistry manuscripts,13,1560e4fecf68354d;d1a1a62903ccdd84;e1796b25b66e232c;e240700fafc9dae6;7a1877c5475844f5;816c42e25fd40005,no
CHEM-PAT-015,synthesis_characterization_and_analytical_evidence,Spectral assignments exceed resolution,"Spectroscopic or diffraction data are used to assign local structure, oxidation state, binding mode, or packing.",The data may be consistent with several chemical structures or environments.,The data may be consistent with several chemical structures or environments.,"Require orthogonal methods, uncertainty in fitting, standards, controls, and alternative structural models.",major,general chemistry manuscripts,13,1560e4fecf68354d;d1a1a62903ccdd84;e1796b25b66e232c;e240700fafc9dae6;7a1877c5475844f5;816c42e25fd40005,no
CHEM-PAT-016,mechanism_and_causality,Mechanism relies on correlation,"Activity, selectivity, or molecular response is correlated with a structural descriptor, spectroscopic feature, or computed parameter.",Correlation does not identify the operative mechanism.,Correlation does not identify the operative mechanism.,"Request perturbation experiments, kinetic discrimination, isotope effects, intermediate trapping, or direct observation where feasible.",major,general chemistry manuscripts,38,6ac5be7e59ecc645;55e9c8d26769b7bb;7ff1732d49ad33dd;bb0bc6a923d30a96;dc09cdd13135e8cd;45f6f1b41f940d63,no
CHEM-PAT-017,mechanism_and_causality,Alternative mechanisms are not excluded,"A single pathway is presented for a reaction, catalytic cycle, photochemical process, or biological response.","Competing radical, ionic, surface, solvent, transport, or degradation pathways may explain the observations.","Competing radical, ionic, surface, solvent, transport, or degradation pathways may explain the observations.",Require a mechanism section that tests and narrows plausible alternatives.,major,general chemistry manuscripts,38,6ac5be7e59ecc645;55e9c8d26769b7bb;7ff1732d49ad33dd;bb0bc6a923d30a96;dc09cdd13135e8cd;45f6f1b41f940d63,no
CHEM-PAT-018,mechanism_and_causality,Active-site assignment is underdetermined,A catalyst or material is assigned a specific active site or coordination environment.,Spectroscopic and performance evidence may not separate spectator sites from active sites.,Spectroscopic and performance evidence may not separate spectator sites from active sites.,"Request operando/in situ evidence, poisoning or site-blocking tests, isotope/kinetic probes, and reconstruction analysis.",major,general chemistry manuscripts,38,6ac5be7e59ecc645;55e9c8d26769b7bb;7ff1732d49ad33dd;bb0bc6a923d30a96;dc09cdd13135e8cd;45f6f1b41f940d63,no
CHEM-PAT-019,catalysis_and_performance,Activity metrics are not intrinsically normalized,"Catalytic performance is reported by mass, geometric area, mole of material, optical density, or total product.","Observed performance may reflect surface area, loading, morphology, mass transport, or light absorption rather than intrinsic activity.","Observed performance may reflect surface area, loading, morphology, mass transport, or light absorption rather than intrinsic activity.","Ask for normalization by active site, electrochemically active surface area, absorbed photons, turnover metrics, or matched loading.",major,general chemistry manuscripts,95,0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1;1e3f3ba86572e040;508b72d00556c384;357405621be06800,no
CHEM-PAT-020,catalysis_and_performance,Stability evidence is too short or too idealized,"A catalyst is claimed stable under limited time, cycling, current, illumination, solvent, or substrate stress.","Short tests cannot exclude deactivation, reconstruction, leaching, fouling, or product inhibition.","Short tests cannot exclude deactivation, reconstruction, leaching, fouling, or product inhibition.","Require longer-term operation, post-catalysis characterization, leaching analysis, and activity recovery tests.",major,general chemistry manuscripts,95,0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1;1e3f3ba86572e040;508b72d00556c384;357405621be06800,no
CHEM-PAT-021,catalysis_and_performance,Product quantification lacks closure,Catalytic selectivity or efficiency is reported without complete product accounting.,"Faradaic, photon, atom, carbon, nitrogen, or mass balances may be incomplete.","Faradaic, photon, atom, carbon, nitrogen, or mass balances may be incomplete.","Require calibration curves, detection limits, isotopic controls, product balance, and uncertainty propagation.",major,general chemistry manuscripts,95,0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1;1e3f3ba86572e040;508b72d00556c384;357405621be06800,no
CHEM-PAT-022,computational_model_assumptions,Computation is used as confirmation rather than a falsifiable test,"DFT, quantum chemistry, molecular dynamics, or ML models are aligned with the preferred mechanism.",Calculations can rationalize observations without discriminating alternatives.,Calculations can rationalize observations without discriminating alternatives.,"Require model assumptions, sensitivity to functional/model/solvent/surface, competing pathways, and clear limits.",major,general chemistry manuscripts,4,4e76350ee0f8d8da;80914f20c45c15f6;80ccf34ae6f6904b;374e19cb0b117a99,no
CHEM-PAT-023,computational_model_assumptions,Model chemistry is mismatched to experiment,"A simplified molecule, cluster, slab, solvation environment, protein model, or reaction coordinate represents a complex experiment.","The model may omit counterions, solvent, morphology, dynamics, concentration, defects, or interface structure.","The model may omit counterions, solvent, morphology, dynamics, concentration, defects, or interface structure.",Ask authors to justify the model and test whether conclusions are robust to chemically plausible alternatives.,major,general chemistry manuscripts,4,4e76350ee0f8d8da;80914f20c45c15f6;80ccf34ae6f6904b;374e19cb0b117a99,no
CHEM-PAT-024,computational_model_assumptions,Predictions lack prospective validation,A computational or AI chemistry workflow is presented as predictive from retrospective benchmarks.,"Performance may not transfer to new chemotypes, substrates, catalysts, or experimental conditions.","Performance may not transfer to new chemotypes, substrates, catalysts, or experimental conditions.","Require prospective tests, scaffold splits, out-of-domain examples, uncertainty estimates, and failure analysis.",major,general chemistry manuscripts,4,4e76350ee0f8d8da;80914f20c45c15f6;80ccf34ae6f6904b;374e19cb0b117a99,no
CHEM-PAT-025,statistical_inference_and_uncertainty,Replicate structure is unclear,"Chemical measurements are summarized without clear biological, synthetic, instrumental, or technical replicate definitions.",Uncertainty may be underestimated or not independent.,Uncertainty may be underestimated or not independent.,"Require replicate definitions, sample sizes, error propagation, statistical tests, and raw/processed data availability.",major,general chemistry manuscripts,1,e2adacc2a1546853,no
CHEM-PAT-026,statistical_inference_and_uncertainty,Small differences are interpreted as chemical effects,"Claims depend on modest changes in yield, selectivity, rate, binding, or spectroscopic parameters.",The difference may fall within experimental or fitting uncertainty.,The difference may fall within experimental or fitting uncertainty.,"Ask for confidence intervals, significance analysis where appropriate, and practical-effect thresholds.",major,general chemistry manuscripts,1,e2adacc2a1546853,no
CHEM-PAT-027,statistical_inference_and_uncertainty,Fitting uncertainty is hidden,"Kinetic, spectroscopic, binding, or computational fits are used to infer parameters.",Parameter identifiability and covariance can affect the interpretation.,Parameter identifiability and covariance can affect the interpretation.,"Request residuals, confidence intervals, fitting models, parameter sensitivity, and raw data.",major,general chemistry manuscripts,1,e2adacc2a1546853,no
CHEM-PAT-028,chemical_biology_and_biointerface,Chemical specificity in biological systems is insufficient,"A probe, inhibitor, binder, labelling reagent, or molecular perturbation is used to infer biological function.","Off-target chemistry, permeability, metabolism, toxicity, or nonspecific binding can drive effects.","Off-target chemistry, permeability, metabolism, toxicity, or nonspecific binding can drive effects.","Require orthogonal probes, inactive analogues, rescue experiments, dose response, and target engagement evidence.",major,general chemistry manuscripts,0,,no
CHEM-PAT-029,chemical_biology_and_biointerface,Biological assay readout is treated as direct chemistry,Cellular or biomolecular activity is attributed to a designed chemical interaction.,"Assay response integrates uptake, stability, localization, downstream signalling, and toxicity.","Assay response integrates uptake, stability, localization, downstream signalling, and toxicity.",Ask for mechanistic separation of chemical binding/reactivity from biological response.,major,general chemistry manuscripts,0,,no
CHEM-PAT-030,chemical_biology_and_biointerface,Protein or biomolecular dynamics interpretation is overextended,Spectroscopic or structural data are used to infer functional dynamics.,"The method may report a specific timescale, state, or construct rather than the general biological mechanism.","The method may report a specific timescale, state, or construct rather than the general biological mechanism.","Require construct controls, timescale limits, orthogonal measurements, and cautious wording.",major,general chemistry manuscripts,0,,no
CHEM-PAT-031,materials_energy_interface,Materials performance is interpreted without chemical boundary control,"A material, electrode, polymer, framework, nanostructure, or interface exhibits desirable performance.","Performance may reflect morphology, transport, defects, additives, electrolyte, or device architecture rather than chemical design alone.","Performance may reflect morphology, transport, defects, additives, electrolyte, or device architecture rather than chemical design alone.",Require matched morphology/device controls and chemical-interface characterization.,major,general chemistry manuscripts,0,,no
CHEM-PAT-032,materials_energy_interface,Interface chemistry is inferred from ex situ evidence,Interfacial composition or active phase is assigned after operation.,Ex situ data may miss transient states or air-sensitive reconstruction.,Ex situ data may miss transient states or air-sensitive reconstruction.,Require operando/in situ evidence where feasible and explicit limits on ex situ interpretation.,major,general chemistry manuscripts,0,,no
CHEM-PAT-033,materials_energy_interface,Scale-up or practical relevance is overstated,"A chemistry is linked to sustainability, recycling, energy, or industrial relevance from laboratory-scale evidence.","Laboratory success may not address feedstock variability, cost, durability, safety, or process integration.","Laboratory success may not address feedstock variability, cost, durability, safety, or process integration.","Ask for scope of practical claims, process metrics, and realistic comparison to incumbent chemistry.",major,general chemistry manuscripts,0,,no
CHEM-PAT-034,reproducibility_data_and_code,Synthetic procedure is not reproducible enough,"A key result depends on a procedure with missing concentrations, atmosphere, light intensity, electrode geometry, purification, timing, or material history.",Small procedural changes can alter chemistry.,Small procedural changes can alter chemistry.,"Require complete experimental details, instrument settings, calibration, and batch history.",specific,general chemistry manuscripts,5,3573de31501d61a4;3107f2478b35112a;9077e51e719b8893;f64768058a2d9230;21a48b4e6da01097,no
CHEM-PAT-035,reproducibility_data_and_code,Underlying data are insufficiently accessible,"Claims depend on spectra, chromatograms, images, simulations, or code that are only summarized.","Readers cannot audit assignments, quantification, or model outputs.","Readers cannot audit assignments, quantification, or model outputs.","Require raw spectra/chromatograms, processing scripts, coordinate files, computational inputs, and accession links.",specific,general chemistry manuscripts,5,3573de31501d61a4;3107f2478b35112a;9077e51e719b8893;f64768058a2d9230;21a48b4e6da01097,no
CHEM-PAT-036,reproducibility_data_and_code,Reporting standards are inconsistently applied,"Different figures or experiments report different denominators, conditions, units, or normalization.",Inconsistent reporting weakens comparability.,Inconsistent reporting weakens comparability.,"Request harmonized units, tables of conditions, and source-data alignment.",specific,general chemistry manuscripts,5,3573de31501d61a4;3107f2478b35112a;9077e51e719b8893;f64768058a2d9230;21a48b4e6da01097,no
CHEM-PAT-037,detail_audit_and_clarity,Definitions are rhetorically strong but operationally vague,"Terms such as hierarchical, robust, efficient, stable, green, universal, or programmable are used without thresholds.",Ambiguous terms make claims difficult to evaluate.,Ambiguous terms make claims difficult to evaluate.,"Ask for operational definitions, quantitative thresholds, and evidence for each descriptor.",specific,general chemistry manuscripts,21,915b29db2b676177;aaf0c70b79bd4cfe;4291441730fb05d8;4e175e188a61f657;ffc1fe02e2cdd1cd;6c7722bc75a3352f,no
CHEM-PAT-038,detail_audit_and_clarity,Figure-to-text alignment is weak,"A figure, table, or supplementary result is cited as supporting a specific claim.",The plotted evidence may not show the claimed comparison or the conditions may be unclear.,The plotted evidence may not show the claimed comparison or the conditions may be unclear.,"Require clearer labels, controls, sample sizes, uncertainty, and direct statement of what the figure establishes.",specific,general chemistry manuscripts,21,915b29db2b676177;aaf0c70b79bd4cfe;4291441730fb05d8;4e175e188a61f657;ffc1fe02e2cdd1cd;6c7722bc75a3352f,no
CHEM-PAT-039,detail_audit_and_clarity,Nomenclature and chemical notation reduce auditability,"Compound names, catalyst labels, structures, charge states, stereochemistry, or abbreviations are inconsistent.",Auditability and reproducibility suffer.,Auditability and reproducibility suffer.,"Ask for consistent nomenclature, structure files, labels, and abbreviation definitions.",specific,general chemistry manuscripts,21,915b29db2b676177;aaf0c70b79bd4cfe;4291441730fb05d8;4e175e188a61f657;ffc1fe02e2cdd1cd;6c7722bc75a3352f,no
CHEM-PAT-040,subfield_specific_evidence_calibration,Organic Synthesis evidence audit,late-stage or method-development claim,"The claim can be accepted only if the evidence chain audits substrate diversity, functional-group tolerance, selectivity, and preparative utility.",The manuscript may make a strong late-stage or method-development claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit substrate diversity, functional-group tolerance, selectivity, and preparative utility.",major,organic_synthesis,6,36afd2059d355ec2;f3f4186c07ff0023;36f33539c5b75198;c29cfe41a8d20ecf;db83f408d702e329;d926ade9bafacaa1,no
CHEM-PAT-041,subfield_specific_evidence_calibration,Catalysis evidence audit,catalytic performance claim,"The claim can be accepted only if the evidence chain audits normalization, active-site identity, product closure, and stability.",The manuscript may make a strong catalytic performance claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit normalization, active-site identity, product closure, and stability.",major,catalysis,6,c01735fb882370e8;90cb2ebd591ff7e3;8539b2b7a1751491;0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1,no
CHEM-PAT-042,subfield_specific_evidence_calibration,Photocatalysis evidence audit,light-driven chemistry claim,"The claim can be accepted only if the evidence chain audits photon flux, absorption, quenching, ROS/product quantification, and dark controls.",The manuscript may make a strong light-driven chemistry claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit photon flux, absorption, quenching, ROS/product quantification, and dark controls.",major,photocatalysis,6,c01735fb882370e8;90cb2ebd591ff7e3;8539b2b7a1751491;0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1,no
CHEM-PAT-043,subfield_specific_evidence_calibration,Electrocatalysis evidence audit,electrochemical activity claim,"The claim can be accepted only if the evidence chain audits reference electrode calibration, iR correction, mass transport, Faradaic efficiency, and post-test phase.",The manuscript may make a strong electrochemical activity claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit reference electrode calibration, iR correction, mass transport, Faradaic efficiency, and post-test phase.",major,electrocatalysis,0,,no
CHEM-PAT-044,subfield_specific_evidence_calibration,Chemical Biology evidence audit,chemical-biology mechanism claim,"The claim can be accepted only if the evidence chain audits target engagement, off-target chemistry, orthogonal probes, and biological assay specificity.",The manuscript may make a strong chemical-biology mechanism claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit target engagement, off-target chemistry, orthogonal probes, and biological assay specificity.",major,chemical_biology,6,4291441730fb05d8;566abce1c9169201;45f6f1b41f940d63;508b72d00556c384;357405621be06800;4e175e188a61f657,no
CHEM-PAT-045,subfield_specific_evidence_calibration,Polymer Chemistry evidence audit,polymer or macromolecular claim,"The claim can be accepted only if the evidence chain audits molecular-weight distribution, dispersity, composition, degradation, and batch reproducibility.",The manuscript may make a strong polymer or macromolecular claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit molecular-weight distribution, dispersity, composition, degradation, and batch reproducibility.",major,polymer_chemistry,3,6c7722bc75a3352f;3573de31501d61a4;792c6cd46336fdb6,no
CHEM-PAT-046,subfield_specific_evidence_calibration,Supramolecular Chemistry evidence audit,assembly or host–guest claim,"The claim can be accepted only if the evidence chain audits stoichiometry, binding model, concentration dependence, morphology, and alternative assemblies.",The manuscript may make a strong assembly or host–guest claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit stoichiometry, binding model, concentration dependence, morphology, and alternative assemblies.",major,supramolecular_chemistry,6,c01735fb882370e8;90cb2ebd591ff7e3;8539b2b7a1751491;0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1,no
CHEM-PAT-047,subfield_specific_evidence_calibration,Materials Chemistry evidence audit,structure–property claim,"The claim can be accepted only if the evidence chain audits phase purity, morphology, defect chemistry, interface state, and matched materials controls.",The manuscript may make a strong structure–property claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit phase purity, morphology, defect chemistry, interface state, and matched materials controls.",major,materials_chemistry,6,c01735fb882370e8;90cb2ebd591ff7e3;8539b2b7a1751491;0a6ed244a124ffe2;54c34538f80ef899;6b2d69fbd4d473d1,no
CHEM-PAT-048,subfield_specific_evidence_calibration,Computational Chemistry evidence audit,computed chemistry claim,"The claim can be accepted only if the evidence chain audits model system, sensitivity, competing pathways, uncertainty, and experimental validation.",The manuscript may make a strong computed chemistry claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit model system, sensitivity, competing pathways, uncertainty, and experimental validation.",major,computational_chemistry,6,8adb9f7952ce2c6f;0815bbc636e86615;02058f6f51515476;6743273829dbd71a;13938ecce22bfabd;5aa7d800e6fd97dc,no
CHEM-PAT-049,subfield_specific_evidence_calibration,Analytical Chemistry evidence audit,measurement or mapping claim,"The claim can be accepted only if the evidence chain audits calibration, limits of detection, matrix effects, standards, and uncertainty.",The manuscript may make a strong measurement or mapping claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit calibration, limits of detection, matrix effects, standards, and uncertainty.",major,analytical_chemistry,6,6c7722bc75a3352f;3573de31501d61a4;792c6cd46336fdb6;9471b344f2935978;6d11e9e73c06efcc;df9d3d8a0d745e84,no
CHEM-PAT-050,subfield_specific_evidence_calibration,Green Chemistry evidence audit,sustainability claim,"The claim can be accepted only if the evidence chain audits mass balance, solvent/reagent burden, energy input, feedstock variability, and practical comparator.",The manuscript may make a strong sustainability claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit mass balance, solvent/reagent burden, energy input, feedstock variability, and practical comparator.",major,green_chemistry,6,6c7722bc75a3352f;3573de31501d61a4;792c6cd46336fdb6;5070f744615692c1;9a92b5fe1996fb2c;8ae85f196a8d95cd,no
CHEM-PAT-051,subfield_specific_evidence_calibration,Energy Chemistry evidence audit,energy-conversion or storage chemistry claim,"The claim can be accepted only if the evidence chain audits device-normalized versus chemistry-normalized performance, degradation, and interface evolution.",The manuscript may make a strong energy-conversion or storage chemistry claim while leaving one or more critical audit layers under-specified.,"Require authors to explicitly test, quantify, or delimit device-normalized versus chemistry-normalized performance, degradation, and interface evolution.",major,energy_chemistry,0,,no
